sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,prevention,Female,>60,Postgraduate degree,Managerial employee,Married,"<15,000,000 VND",Arab,2,4,5,5,1,3,5,1,3,2,3,5,4,2,3,1,2,3,4,4,3,3
1,promotion,Female,>60,Postgraduate degree,Managerial employee,Married,"<15,000,000 VND",Arab,2,4,5,5,1,3,5,1,3,2,3,5,4,2,3,5,6,7,7,4,3,2
2,prevention,Male,50–59,High school,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,3,4,1,5,5,3,1,5,1,1,5,3,2,5,3,6,5,4,3,4,3,2
2,promotion,Male,50–59,High school,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,3,4,1,5,5,3,1,5,1,1,5,3,2,5,3,6,5,7,4,3,2,1
3,prevention,Male,20–29,Bachelor’s degree,Other,Single,"26,000,000–35,000,000 VND",Arab,3,4,5,5,1,3,1,5,3,2,4,3,1,2,5,4,5,6,7,2,3,4
3,promotion,Male,20–29,Bachelor’s degree,Other,Single,"26,000,000–35,000,000 VND",Arab,3,4,5,5,1,3,1,5,3,2,4,3,1,2,5,4,6,7,5,3,2,1
4,prevention,Male,50–59,High school,Other,Single,">46,000,000 VND",Arab,5,5,5,3,2,3,1,3,4,1,4,1,4,4,3,4,5,6,7,3,2,1
4,promotion,Male,50–59,High school,Other,Single,">46,000,000 VND",Arab,5,5,5,3,2,3,1,3,4,1,4,1,4,4,3,7,6,5,4,3,2,1
5,prevention,Male,<20,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,1,5,3,3,2,1,1,2,5,1,1,4,5,3,4,7,6,5,4,7,6,5
5,promotion,Male,<20,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,1,5,3,3,2,1,1,2,5,1,1,4,5,3,4,3,4,5,6,2,3,4
6,prevention,Female,<20,Bachelor’s degree,Civil servant,Living with parents,"16,000,000–25,000,000 VND",Arab,1,3,1,3,5,1,1,3,2,5,1,3,2,3,5,7,6,5,4,3,2,1
6,promotion,Female,<20,Bachelor’s degree,Civil servant,Living with parents,"16,000,000–25,000,000 VND",Arab,1,3,1,3,5,1,1,3,2,5,1,3,2,3,5,3,4,5,6,2,3,3
7,prevention,Male,>60,High school,Office worker,Single,"26,000,000–35,000,000 VND",Arab,1,3,3,1,1,2,1,2,2,1,3,5,1,1,5,4,5,6,7,3,2,1
7,promotion,Male,>60,High school,Office worker,Single,"26,000,000–35,000,000 VND",Arab,1,3,3,1,1,2,1,2,2,1,3,5,1,1,5,5,4,3,2,6,7,8
8,prevention,Female,<20,Postgraduate degree,Civil servant,Single,">46,000,000 VND",Arab,1,4,4,5,4,4,4,3,5,5,2,2,3,4,2,7,7,7,6,4,3,2
8,promotion,Female,<20,Postgraduate degree,Civil servant,Single,">46,000,000 VND",Arab,1,4,4,5,4,4,4,3,5,5,2,2,3,4,2,3,4,5,7,2,2,3
9,prevention,Female,30–39,Bachelor’s degree,Blue-collar worker,Single,"26,000,000–35,000,000 VND",Arab,5,4,3,5,2,5,3,3,4,4,4,2,5,1,3,7,6.5,6.5,6,4.5,3.5,3
9,promotion,Female,30–39,Bachelor’s degree,Blue-collar worker,Single,"26,000,000–35,000,000 VND",Arab,5,4,3,5,2,5,3,3,4,4,4,2,5,1,3,7,6,5,4,6,5,4
10,prevention,Female,20–29,High school,Other,Divorced,"36,000,000–45,000,000 VND",Arab,2,2,4,5,2,2,3,4,2,5,3,3,4,2,5,3,4,5,6,2,3,3
10,promotion,Female,20–29,High school,Other,Divorced,"36,000,000–45,000,000 VND",Arab,2,2,4,5,2,2,3,4,2,5,3,3,4,2,5,4,5,6,7,3,4,5
11,prevention,Female,20–29,Bachelor’s degree,Civil servant,Single,">46,000,000 VND",Arab,2,3,1,4,3,3,3,4,1,5,2,3,2,2,2,5,6,7,7,4,4,3
11,promotion,Female,20–29,Bachelor’s degree,Civil servant,Single,">46,000,000 VND",Arab,2,3,1,4,3,3,3,4,1,5,2,3,2,2,2,4,5,6,7,3,2,1
