sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,prevention,Female,<20,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,4,4,2,1,5,1,2,1,1,5,1,2,5,3,4,3,3,3,3,3
1,promotion,Female,<20,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,4,4,2,1,5,1,2,1,1,5,1,2,5,4,3,2,1,2,1,2
2,prevention,Female,40–49,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Chinese,1,4,2,3,2,1,5,5,1,2,4,3,4,5,3,5,6,4,5,5,6,7
2,promotion,Female,40–49,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Chinese,1,4,2,3,2,1,5,5,1,2,4,3,4,5,3,3,4,4,3,3,3,4
3,prevention,Female,>60,Bachelor’s degree,Civil servant,Married,"26,000,000–35,000,000 VND",Chinese,4,4,4,3,1,2,3,2,4,4,2,1,2,1,1,2,3,4,5,5,6,7
3,promotion,Female,>60,Bachelor’s degree,Civil servant,Married,"26,000,000–35,000,000 VND",Chinese,4,4,4,3,1,2,3,2,4,4,2,1,2,1,1,3,4,4,3,2,3,4
4,prevention,Female,40–49,Postgraduate degree,Blue-collar worker,Married,">46,000,000 VND",Chinese,5,4,4,4,3,4,2,1,2,2,1,3,1,1,2,5,4,4,5,3,4,4
4,promotion,Female,40–49,Postgraduate degree,Blue-collar worker,Married,">46,000,000 VND",Chinese,5,4,4,4,3,4,2,1,2,2,1,3,1,1,2,4,3,4,5,3,4,6
5,prevention,Male,>60,Bachelor’s degree,Civil servant,Married,"36,000,000–45,000,000 VND",Chinese,3,2,2,4,2,1,4,2,1,2,1,4,1,4,5,3,4,3,2,3,3,4
5,promotion,Male,>60,Bachelor’s degree,Civil servant,Married,"36,000,000–45,000,000 VND",Chinese,3,2,2,4,2,1,4,2,1,2,1,4,1,4,5,3,2,3,3,3,3,4
6,prevention,Male,20–29,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,2,5,2,3,4,5,1,4,2,5,2,5,1,4,2,4,3,4,5,4,5,6
6,promotion,Male,20–29,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,2,5,2,3,4,5,1,4,2,5,2,5,1,4,2,5,4,5,6,3,4,5
7,prevention,Female,30–39,High school,Student,Married,"<15,000,000 VND",Chinese,5,2,5,4,4,2,5,5,2,5,5,1,4,1,1,5,4,5,3,4,5,5
7,promotion,Female,30–39,High school,Student,Married,"<15,000,000 VND",Chinese,5,2,5,4,4,2,5,5,2,5,5,1,4,1,1,4,5,4,5,4,3,5
8,prevention,Male,>60,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,5,4,4,5,1,2,2,4,5,4,4,2,2,3,4,5,4,2,3,4
8,promotion,Male,>60,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,5,4,4,5,1,2,2,4,5,4,4,2,2,3,4,3,3,3,3,4
9,prevention,Female,40–49,Postgraduate degree,Student,Married,">46,000,000 VND",Chinese,2,1,1,1,1,3,5,2,5,1,4,1,4,5,2,2,3,3,2,1,2,1
9,promotion,Female,40–49,Postgraduate degree,Student,Married,">46,000,000 VND",Chinese,2,1,1,1,1,3,5,2,5,1,4,1,4,5,2,3,2,2,3,1,1,2
10,prevention,Female,30–39,Bachelor’s degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Chinese,3,3,1,1,1,5,2,2,4,5,2,2,2,3,4,3,2,3,3,4,5,3
10,promotion,Female,30–39,Bachelor’s degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Chinese,3,3,1,1,1,5,2,2,4,5,2,2,2,3,4,3,3,4,4,3,4,5
11,prevention,Female,40–49,Postgraduate degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Chinese,5,4,5,2,5,5,4,3,3,3,5,2,3,1,4,4,5,5,5,3,4,5
