sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,clothing,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",America,2,4,2,1,5,4,2,1,3,3,4,3,5,4,1,2,1,1,2,1,1,3
1,eco_product,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",America,2,4,2,1,5,4,2,1,3,3,4,3,5,4,1,2,1,1,1,1,1,2
1,energy_drink,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",America,2,4,2,1,5,4,2,1,3,3,4,3,5,4,1,2,3,2,1,1,1,3
1,furniture,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",America,2,4,2,1,5,4,2,1,3,3,4,3,5,4,1,2,1,2,3,1,1,3
1,smartphone,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",America,2,4,2,1,5,4,2,1,3,3,4,3,5,4,1,1,2,1,1,1,1,2
1,snack,Male,50–59,High school,Student,Living with parents,"<15,000,000 VND",America,2,4,2,1,5,4,2,1,3,3,4,3,5,4,1,2,3,2,2,1,2,3
2,clothing,Female,40–49,Postgraduate degree,Other,Living with parents,"26,000,000–35,000,000 VND",America,1,1,3,2,4,1,3,2,1,4,1,1,4,3,4,2,3,2,3,1,4,5
2,eco_product,Female,40–49,Postgraduate degree,Other,Living with parents,"26,000,000–35,000,000 VND",America,1,1,3,2,4,1,3,2,1,4,1,1,4,3,4,2,5,3,3,1,3,2
2,energy_drink,Female,40–49,Postgraduate degree,Other,Living with parents,"26,000,000–35,000,000 VND",America,1,1,3,2,4,1,3,2,1,4,1,1,4,3,4,2,1,1,1,1,1,2
2,furniture,Female,40–49,Postgraduate degree,Other,Living with parents,"26,000,000–35,000,000 VND",America,1,1,3,2,4,1,3,2,1,4,1,1,4,3,4,2,4,3,4,1,1,3
2,smartphone,Female,40–49,Postgraduate degree,Other,Living with parents,"26,000,000–35,000,000 VND",America,1,1,3,2,4,1,3,2,1,4,1,1,4,3,4,2,3,2,3,1,1,3
2,snack,Female,40–49,Postgraduate degree,Other,Living with parents,"26,000,000–35,000,000 VND",America,1,1,3,2,4,1,3,2,1,4,1,1,4,3,4,2,2,2,3,1,2,4
3,clothing,Male,30–39,Bachelor’s degree,Student,Married,"16,000,000–25,000,000 VND",America,5,1,5,2,5,3,5,1,4,3,3,1,5,5,2,3,4,3,3,2,2,4
3,eco_product,Male,30–39,Bachelor’s degree,Student,Married,"16,000,000–25,000,000 VND",America,5,1,5,2,5,3,5,1,4,3,3,1,5,5,2,3,2,3,2,2,2,5
3,energy_drink,Male,30–39,Bachelor’s degree,Student,Married,"16,000,000–25,000,000 VND",America,5,1,5,2,5,3,5,1,4,3,3,1,5,5,2,3,2,3,2,2,1,3
3,furniture,Male,30–39,Bachelor’s degree,Student,Married,"16,000,000–25,000,000 VND",America,5,1,5,2,5,3,5,1,4,3,3,1,5,5,2,3,2,3,3,2,2,5
3,smartphone,Male,30–39,Bachelor’s degree,Student,Married,"16,000,000–25,000,000 VND",America,5,1,5,2,5,3,5,1,4,3,3,1,5,5,2,3,2,3,4,2,1,3
3,snack,Male,30–39,Bachelor’s degree,Student,Married,"16,000,000–25,000,000 VND",America,5,1,5,2,5,3,5,1,4,3,3,1,5,5,2,3,4,3,3,2,3,5
4,clothing,Male,<20,High school,Office worker,Married,"36,000,000–45,000,000 VND",America,3,3,2,1,4,3,4,4,1,2,4,5,2,5,1,2,0,1,2,1,1,3
4,eco_product,Male,<20,High school,Office worker,Married,"36,000,000–45,000,000 VND",America,3,3,2,1,4,3,4,4,1,2,4,5,2,5,1,2,3,2,2,1,1,2
4,energy_drink,Male,<20,High school,Office worker,Married,"36,000,000–45,000,000 VND",America,3,3,2,1,4,3,4,4,1,2,4,5,2,5,1,2,4,3,3,1,5,6
4,furniture,Male,<20,High school,Office worker,Married,"36,000,000–45,000,000 VND",America,3,3,2,1,4,3,4,4,1,2,4,5,2,5,1,2,3,2,1,1,1,2
4,smartphone,Male,<20,High school,Office worker,Married,"36,000,000–45,000,000 VND",America,3,3,2,1,4,3,4,4,1,2,4,5,2,5,1,2,3,2,2,1,1,3
4,snack,Male,<20,High school,Office worker,Married,"36,000,000–45,000,000 VND",America,3,3,2,1,4,3,4,4,1,2,4,5,2,5,1,2,3,3,3,1,2,4
5,clothing,Male,50–59,High school,Civil servant,Divorced,"26,000,000–35,000,000 VND",America,5,5,4,4,5,1,4,5,5,2,1,4,3,1,1,2,3,3,2,1,2,4
5,eco_product,Male,50–59,High school,Civil servant,Divorced,"26,000,000–35,000,000 VND",America,5,5,4,4,5,1,4,5,5,2,1,4,3,1,1,2,2,3,2,1,2,5
5,energy_drink,Male,50–59,High school,Civil servant,Divorced,"26,000,000–35,000,000 VND",America,5,5,4,4,5,1,4,5,5,2,1,4,3,1,1,2,2,3,3,1,2,4
5,furniture,Male,50–59,High school,Civil servant,Divorced,"26,000,000–35,000,000 VND",America,5,5,4,4,5,1,4,5,5,2,1,4,3,1,1,2,1,2,1,1,2,4
5,smartphone,Male,50–59,High school,Civil servant,Divorced,"26,000,000–35,000,000 VND",America,5,5,4,4,5,1,4,5,5,2,1,4,3,1,1,2,3,2,2,1,2,3
5,snack,Male,50–59,High school,Civil servant,Divorced,"26,000,000–35,000,000 VND",America,5,5,4,4,5,1,4,5,5,2,1,4,3,1,1,3,4,3,2,2,3,4
6,clothing,Male,30–39,Bachelor’s degree,Other,Single,"16,000,000–25,000,000 VND",America,2,5,2,1,3,2,4,3,1,5,2,2,2,3,1,2,2,2,2,1,1,3
6,eco_product,Male,30–39,Bachelor’s degree,Other,Single,"16,000,000–25,000,000 VND",America,2,5,2,1,3,2,4,3,1,5,2,2,2,3,1,2,3,2,1,1,1,3
6,energy_drink,Male,30–39,Bachelor’s degree,Other,Single,"16,000,000–25,000,000 VND",America,2,5,2,1,3,2,4,3,1,5,2,2,2,3,1,2,2,3,3,1,2,5
6,furniture,Male,30–39,Bachelor’s degree,Other,Single,"16,000,000–25,000,000 VND",America,2,5,2,1,3,2,4,3,1,5,2,2,2,3,1,2,3,2,3,1,3,3
6,smartphone,Male,30–39,Bachelor’s degree,Other,Single,"16,000,000–25,000,000 VND",America,2,5,2,1,3,2,4,3,1,5,2,2,2,3,1,2,1,2,3,1,2,4
6,snack,Male,30–39,Bachelor’s degree,Other,Single,"16,000,000–25,000,000 VND",America,2,5,2,1,3,2,4,3,1,5,2,2,2,3,1,2,3,2,2,1,2,3
7,clothing,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",America,2,4,5,1,5,4,1,3,1,4,3,4,5,3,2,2,3,3,3,1,1,3
7,eco_product,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",America,2,4,5,1,5,4,1,3,1,4,3,4,5,3,2,2,2,3,2,1,2,3
7,energy_drink,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",America,2,4,5,1,5,4,1,3,1,4,3,4,5,3,2,2,5,3,4,1,3,4
7,furniture,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",America,2,4,5,1,5,4,1,3,1,4,3,4,5,3,2,2,1,2,3,1,1,4
7,smartphone,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",America,2,4,5,1,5,4,1,3,1,4,3,4,5,3,2,2,1,2,3,1,5,4
7,snack,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",America,2,4,5,1,5,4,1,3,1,4,3,4,5,3,2,2,2,1,1,1,1,4
8,clothing,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",America,3,2,4,5,2,1,2,1,3,5,5,1,5,5,1,2,2,2,2,1,1,3
8,eco_product,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",America,3,2,4,5,2,1,2,1,3,5,5,1,5,5,1,2,1,1,1,1,1,2
8,energy_drink,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",America,3,2,4,5,2,1,2,1,3,5,5,1,5,5,1,2,3,2,2,1,2,3
8,furniture,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",America,3,2,4,5,2,1,2,1,3,5,5,1,5,5,1,2,1,2,1,1,1,3
8,smartphone,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",America,3,2,4,5,2,1,2,1,3,5,5,1,5,5,1,2,3,2,2,1,2,3
8,snack,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"16,000,000–25,000,000 VND",America,3,2,4,5,2,1,2,1,3,5,5,1,5,5,1,2,3,2,2,1,2,3
9,clothing,Female,50–59,High school,Student,Divorced,"26,000,000–35,000,000 VND",America,1,2,1,2,1,1,4,2,4,1,1,2,3,5,2,2,2,3,3,1,2,4
9,eco_product,Female,50–59,High school,Student,Divorced,"26,000,000–35,000,000 VND",America,1,2,1,2,1,1,4,2,4,1,1,2,3,5,2,2,3,3,2,1,2,4
9,energy_drink,Female,50–59,High school,Student,Divorced,"26,000,000–35,000,000 VND",America,1,2,1,2,1,1,4,2,4,1,1,2,3,5,2,2,1,2,1,1,2,3
9,furniture,Female,50–59,High school,Student,Divorced,"26,000,000–35,000,000 VND",America,1,2,1,2,1,1,4,2,4,1,1,2,3,5,2,2,1,2,1,1,1,3
9,smartphone,Female,50–59,High school,Student,Divorced,"26,000,000–35,000,000 VND",America,1,2,1,2,1,1,4,2,4,1,1,2,3,5,2,2,2,1,2,1,1,3
9,snack,Female,50–59,High school,Student,Divorced,"26,000,000–35,000,000 VND",America,1,2,1,2,1,1,4,2,4,1,1,2,3,5,2,2,3,3,2,1,2,4
10,clothing,Male,20–29,Postgraduate degree,Blue-collar worker,Divorced,">46,000,000 VND",America,5,4,4,5,5,1,3,4,2,2,1,3,5,2,3,2,3,2,3,1,2,4
10,eco_product,Male,20–29,Postgraduate degree,Blue-collar worker,Divorced,">46,000,000 VND",America,5,4,4,5,5,1,3,4,2,2,1,3,5,2,3,3,4,2,3,2,3,5
