sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,prevention,Male,<20,Bachelor’s degree,Office worker,Single,"16,000,000–25,000,000 VND",Arab,2,1,3,2,2,1,3,1,2,1,1,3,1,2,3,7,5,6,3,4,3,2
1,promotion,Male,<20,Bachelor’s degree,Office worker,Single,"16,000,000–25,000,000 VND",Arab,2,1,3,2,2,1,3,1,2,1,1,3,1,2,3,4,5,6,7,5,6,7
2,prevention,Male,30–39,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Arab,1,4,3,3,2,1,4,1,4,2,2,4,3,1,3,1,2,3,4,1,2,3
2,promotion,Male,30–39,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Arab,1,4,3,3,2,1,4,1,4,2,2,4,3,1,3,7,7,7,6,4,3.5,2
3,prevention,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"26,000,000–35,000,000 VND",Arab,5,1,1,5,2,2,3,1,3,5,1,3,4,3,2,4,6,7,5,5,5,5
3,unknown,Male,20–29,Bachelor’s degree,Blue-collar worker,Living with parents,"26,000,000–35,000,000 VND",Arab,5,1,1,5,2,2,3,1,3,5,1,3,4,3,2,1,1,,,,,
4,prevention,Male,40–49,Bachelor’s degree,Student,Divorced,"<15,000,000 VND",Arab,3,4,1,4,5,5,5,2,3,3,4,2,2,3,5,7,6,5,4,5,4,3
4,promotion,Male,40–49,Bachelor’s degree,Student,Divorced,"<15,000,000 VND",Arab,3,4,1,4,5,5,5,2,3,3,4,2,2,3,5,7,6.5,7,7,4,3,2
5,prevention,Male,>60,Bachelor’s degree,Civil servant,Single,"16,000,000–25,000,000 VND",Arab,3,2,4,3,5,4,4,1,1,4,5,1,4,1,1,4,5,6,7,3,2,1
5,promotion,Male,>60,Bachelor’s degree,Civil servant,Single,"16,000,000–25,000,000 VND",Arab,3,2,4,3,5,4,4,1,1,4,5,1,4,1,1,4,3,3,2,5,4,3
6,prevention,Female,30–39,Postgraduate degree,Student,Married,"26,000,000–35,000,000 VND",Arab,1,3,4,3,3,2,3,3,4,5,1,5,4,3,4,7,6,6,6,4,3,2
6,promotion,Female,30–39,Postgraduate degree,Student,Married,"26,000,000–35,000,000 VND",Arab,1,3,4,3,3,2,3,3,4,5,1,5,4,3,4,6,5,6,4,3,2,3
7,prevention,Female,>60,Bachelor’s degree,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Arab,1,3,4,5,5,4,1,5,4,4,1,5,3,4,2,1,2,3,4,5,6,7
7,promotion,Female,>60,Bachelor’s degree,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Arab,1,3,4,5,5,4,1,5,4,4,1,5,3,4,2,3,4,5,6,2,3,4
8,prevention,Female,20–29,Postgraduate degree,Student,Living with parents,">46,000,000 VND",Arab,2,5,3,5,3,4,3,3,1,1,2,1,3,2,3,3,4,5,6,2,2,2
8,promotion,Female,20–29,Postgraduate degree,Student,Living with parents,">46,000,000 VND",Arab,2,5,3,5,3,4,3,3,1,1,2,1,3,2,3,3,4,5,6,2,3,4
9,prevention,Female,40–49,High school,Other,Divorced,"<15,000,000 VND",Arab,3,4,4,4,1,2,3,2,4,4,3,3,3,1,3,6,6,7,5,4,3,2
9,promotion,Female,40–49,High school,Other,Divorced,"<15,000,000 VND",Arab,3,4,4,4,1,2,3,2,4,4,3,3,3,1,3,4,5,6,7,3,2,1
10,prevention,Male,30–39,Postgraduate degree,Student,Single,"16,000,000–25,000,000 VND",Arab,2,2,2,1,3,4,1,1,1,3,3,5,4,4,4,3,4,5,6,4,5,6
10,promotion,Male,30–39,Postgraduate degree,Student,Single,"16,000,000–25,000,000 VND",Arab,2,2,2,1,3,4,1,1,1,3,3,5,4,4,4,5,4,3,2,3,2,1
11,prevention,Male,50–59,Bachelor’s degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Arab,3,5,3,4,1,4,4,1,1,3,5,5,4,2,4,6,7,7,5,5,4,3
11,promotion,Male,50–59,Bachelor’s degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Arab,3,5,3,4,1,4,4,1,1,3,5,5,4,2,4,7,6,6,5,3,2,1
12,prevention,Female,<20,Bachelor’s degree,Civil servant,Divorced,">46,000,000 VND",Arab,3,3,4,3,5,4,5,5,1,2,1,2,1,1,1,7,6,5,4,7,6,5
12,promotion,Female,<20,Bachelor’s degree,Civil servant,Divorced,">46,000,000 VND",Arab,3,3,4,3,5,4,5,5,1,2,1,2,1,1,1,3,4,5,6,2,3,4
13,prevention,Female,20–29,Postgraduate degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Arab,5,4,5,5,4,2,4,4,1,2,5,4,2,5,2,3,5,6,6,2,4,4
13,promotion,Female,20–29,Postgraduate degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Arab,5,4,5,5,4,2,4,4,1,2,5,4,2,5,2,6,5,6,7,4,3,2
14,prevention,Female,30–39,Bachelor’s degree,Civil servant,Living with parents,"36,000,000–45,000,000 VND",Arab,4,2,2,2,4,5,5,4,4,1,5,3,1,3,1,4,5,6,7,3,2,1
14,promotion,Female,30–39,Bachelor’s degree,Civil servant,Living with parents,"36,000,000–45,000,000 VND",Arab,4,2,2,2,4,5,5,4,4,1,5,3,1,3,1,3,4,5,6,2,3,4
15,prevention,Male,30–39,Bachelor’s degree,Civil servant,Living with parents,"<15,000,000 VND",Arab,3,1,3,1,4,5,5,5,1,5,4,1,1,2,1,4,5,6,7,3,2,1
15,promotion,Male,30–39,Bachelor’s degree,Civil servant,Living with parents,"<15,000,000 VND",Arab,3,1,3,1,4,5,5,5,1,5,4,1,1,2,1,4,5,6,7,3,2,2
16,prevention,Female,<20,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,5,5,2,3,1,3,3,4,5,2,3,3,3,4,5,7,6,7,6,4,3,2
16,promotion,Female,<20,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,5,5,2,3,1,3,3,4,5,2,3,3,3,4,5,5,5,6,7,3,4,5
17,prevention,Male,30–39,High school,Student,Divorced,"16,000,000–25,000,000 VND",Arab,4,2,4,5,5,5,2,4,4,4,3,5,1,2,2,6,5,4,3,4,3.5,2
17,promotion,Male,30–39,High school,Student,Divorced,"16,000,000–25,000,000 VND",Arab,4,2,4,5,5,5,2,4,4,4,3,5,1,2,2,7,6,7,6,5,4,3
18,prevention,Male,<20,Postgraduate degree,Civil servant,Single,"<15,000,000 VND",Arab,1,4,3,2,1,3,5,2,3,1,1,1,3,5,2,3,4,5,6,2,2,2
18,promotion,Male,<20,Postgraduate degree,Civil servant,Single,"<15,000,000 VND",Arab,1,4,3,2,1,3,5,2,3,1,1,1,3,5,2,7,6,5,4,7,6,5
19,promotion,Male,<20,High school,Office worker,Single,"36,000,000–45,000,000 VND",Arab,2,4,4,1,4,1,1,2,4,1,1,2,3,2,2,4,5,6,7,5,4,3
20,promotion,Female,20–29,Postgraduate degree,Blue-collar worker,Divorced,">46,000,000 VND",Arab,2,5,1,2,1,4,1,4,3,2,3,2,4,5,3,7,6,5,4,5,4,3
21,prevention,Male,<20,Bachelor’s degree,Civil servant,Single,"<15,000,000 VND",Arab,2,3,3,2,2,5,1,2,2,2,4,1,2,5,1,3,5,6,4,3,4,3
21,promotion,Male,<20,Bachelor’s degree,Civil servant,Single,"<15,000,000 VND",Arab,2,3,3,2,2,5,1,2,2,2,4,1,2,5,1,5,4,6,7,3,2,4
22,prevention,Female,50–59,Postgraduate degree,Office worker,Living with parents,"26,000,000–35,000,000 VND",Arab,2,3,5,3,2,4,5,1,1,2,2,1,1,4,5,3,4,5,6,2,3,3
22,promotion,Female,50–59,Postgraduate degree,Office worker,Living with parents,"26,000,000–35,000,000 VND",Arab,2,3,5,3,2,4,5,1,1,2,2,1,1,4,5,1,2,3,4,7,7,6
23,prevention,Female,>60,Postgraduate degree,Civil servant,Single,"<15,000,000 VND",Arab,4,5,1,4,1,2,4,5,1,3,2,1,3,5,1,6,5,4,3,5,4,3
23,promotion,Female,>60,Postgraduate degree,Civil servant,Single,"<15,000,000 VND",Arab,4,5,1,4,1,2,4,5,1,3,2,1,3,5,1,4,5,6,7,3,2,1
24,prevention,Female,30–39,Postgraduate degree,Office worker,Divorced,">46,000,000 VND",Arab,5,3,5,2,3,4,5,1,1,2,1,5,1,3,5,3,4,5,6,2,3,3
24,promotion,Female,30–39,Postgraduate degree,Office worker,Divorced,">46,000,000 VND",Arab,5,3,5,2,3,4,5,1,1,2,1,5,1,3,5,7,6.5,7,6,4,3.5,4
25,promotion,Female,>60,Postgraduate degree,Student,Single,"36,000,000–45,000,000 VND",Arab,4,5,4,3,2,1,2,2,5,3,2,4,4,1,5,7,6,5,4,3,2,1
26,prevention,Female,30–39,Bachelor’s degree,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,5,4,4,3,4,2,3,2,4,4,5,5,5,2,1,4,5,6,7,3,2,1
26,promotion,Female,30–39,Bachelor’s degree,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,5,4,4,3,4,2,3,2,4,4,5,5,5,2,1,4,5,6,7,3,2,1
27,prevention,Male,50–59,High school,Student,Living with parents,"26,000,000–35,000,000 VND",Arab,4,2,2,3,5,3,1,2,2,2,4,5,5,4,5,3,4,5,6,2,3,3
27,promotion,Male,50–59,High school,Student,Living with parents,"26,000,000–35,000,000 VND",Arab,4,2,2,3,5,3,1,2,2,2,4,5,5,4,5,7,6.5,6,6,4,3.5,2
28,prevention,Female,>60,Postgraduate degree,Office worker,Living with parents,"<15,000,000 VND",Arab,5,3,3,5,3,2,4,3,3,1,3,5,5,4,2,3,4,5,6,2,3,4
29,prevention,Male,30–39,Bachelor’s degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Arab,3,3,1,1,4,1,5,3,3,2,3,3,2,3,1,3,5,6,4,4,4,3
29,promotion,Male,30–39,Bachelor’s degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Arab,3,3,1,1,4,1,5,3,3,2,3,3,2,3,1,3,4,5,6,2,3,4
30,prevention,Male,<20,Postgraduate degree,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,5,1,1,3,5,1,5,1,4,1,2,1,4,4,5,3,5,6,4,2,3,4
31,prevention,Female,40–49,High school,Office worker,Single,"36,000,000–45,000,000 VND",Arab,2,5,3,5,1,4,5,1,2,4,4,2,5,5,3,5,6,7,7,4,3,2
31,promotion,Female,40–49,High school,Office worker,Single,"36,000,000–45,000,000 VND",Arab,2,5,3,5,1,4,5,1,2,4,4,2,5,5,3,5,6,7,7,4,3,2
32,prevention,Female,40–49,Bachelor’s degree,Managerial employee,Single,"26,000,000–35,000,000 VND",Arab,2,2,3,2,1,2,4,1,3,5,2,5,2,2,3,4,5,6,7,3,2,1
32,promotion,Female,40–49,Bachelor’s degree,Managerial employee,Single,"26,000,000–35,000,000 VND",Arab,2,2,3,2,1,2,4,1,3,5,2,5,2,2,3,3,4,5,6,2,3,4
33,prevention,Male,30–39,High school,Office worker,Living with parents,"36,000,000–45,000,000 VND",Arab,2,5,3,3,3,4,5,3,3,3,3,1,3,5,2,4,6,7,5,2,3,3
33,promotion,Male,30–39,High school,Office worker,Living with parents,"36,000,000–45,000,000 VND",Arab,2,5,3,3,3,4,5,3,3,3,3,1,3,5,2,3,4,5,6,2,3,4
34,prevention,Female,<20,Bachelor’s degree,Managerial employee,Divorced,"<15,000,000 VND",Arab,5,2,4,4,1,5,5,5,4,2,4,5,5,4,2,7,6,7,5,4,3,2
34,promotion,Female,<20,Bachelor’s degree,Managerial employee,Divorced,"<15,000,000 VND",Arab,5,2,4,4,1,5,5,5,4,2,4,5,5,4,2,7,6.5,6.5,6,6,5.5,5
35,prevention,Male,30–39,Postgraduate degree,Office worker,Married,"<15,000,000 VND",Arab,2,2,1,3,2,2,3,5,3,4,1,2,3,3,5,4,5,6,7,5,6,7
35,promotion,Male,30–39,Postgraduate degree,Office worker,Married,"<15,000,000 VND",Arab,2,2,1,3,2,2,3,5,3,4,1,2,3,3,5,4,5,6,7,4,5,6
36,prevention,Male,50–59,High school,Office worker,Divorced,">46,000,000 VND",Arab,4,4,2,1,1,1,4,3,3,2,2,1,5,3,1,4,5,6,7,2,3,4
36,promotion,Male,50–59,High school,Office worker,Divorced,">46,000,000 VND",Arab,4,4,2,1,1,1,4,3,3,2,2,1,5,3,1,7,6,5,4,3,2,1
37,prevention,Female,>60,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Arab,3,5,2,1,1,2,3,2,3,4,5,3,5,2,4,4,5,6,7,3,2,1
37,promotion,Female,>60,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Arab,3,5,2,1,1,2,3,2,3,4,5,3,5,2,4,7,6,5,4,3,2,1
38,prevention,Male,40–49,Bachelor’s degree,Civil servant,Divorced,">46,000,000 VND",Arab,5,1,3,1,2,1,2,3,3,1,2,3,2,2,3,1,3,5,4,2,3,3
38,promotion,Male,40–49,Bachelor’s degree,Civil servant,Divorced,">46,000,000 VND",Arab,5,1,3,1,2,1,2,3,3,1,2,3,2,2,3,7,6,5,4,5,3,2
39,prevention,Female,30–39,Postgraduate degree,Student,Living with parents,"16,000,000–25,000,000 VND",Arab,3,5,2,1,4,5,2,4,1,1,4,2,5,5,1,7,6.5,6,4,6,5,3
39,promotion,Female,30–39,Postgraduate degree,Student,Living with parents,"16,000,000–25,000,000 VND",Arab,3,5,2,1,4,5,2,4,1,1,4,2,5,5,1,7,6.5,6.5,6,4,3.5,3
40,promotion,Male,20–29,Bachelor’s degree,Office worker,Single,"26,000,000–35,000,000 VND",Arab,3,2,3,5,4,5,1,2,3,2,2,5,2,4,3,3,4,5,7,2,3,3
40,unknown,Male,20–29,Bachelor’s degree,Office worker,Single,"26,000,000–35,000,000 VND",Arab,3,2,3,5,4,5,1,2,3,2,2,5,2,4,3,1,2,3,4,1,2,3
41,prevention,Male,<20,Postgraduate degree,Student,Married,"<15,000,000 VND",Arab,3,4,1,3,2,1,3,1,3,2,2,2,2,3,4,4,6,7,5,2,3,4
41,promotion,Male,<20,Postgraduate degree,Student,Married,"<15,000,000 VND",Arab,3,4,1,3,2,1,3,1,3,2,2,2,2,3,4,3,4,5,6,2,3,3
