sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,promotion,Female,50–59,High school,Civil servant,Married,"<15,000,000 VND",Chinese,5,3,3,5,5,5,4,5,2,1,5,1,3,3,5,3,2,2,3,1,1,2
2,promotion,Male,<20,Postgraduate degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Chinese,2,4,3,1,4,3,1,5,5,4,1,3,3,5,3,1,2,1,2,1,2,3
3,promotion,Female,40–49,Postgraduate degree,Civil servant,Single,"36,000,000–45,000,000 VND",Chinese,5,1,4,3,2,3,3,5,1,5,4,5,2,2,3,1,2,1,1,1,1,2
4,promotion,Male,<20,Postgraduate degree,Other,Divorced,">46,000,000 VND",Chinese,2,2,4,2,2,3,5,2,4,4,4,5,1,3,4,1,2,1,1,1,2,3
5,promotion,Male,30–39,Bachelor’s degree,Managerial employee,Single,"26,000,000–35,000,000 VND",Chinese,1,1,4,1,5,4,3,4,2,4,1,4,4,1,2,2,2,2,1,1,1,1
6,promotion,Male,30–39,Postgraduate degree,Other,Divorced,"26,000,000–35,000,000 VND",Chinese,5,3,1,4,2,4,5,4,4,1,1,2,4,2,1,2,3,2,3,1,1,2
7,promotion,Male,30–39,High school,Civil servant,Divorced,"36,000,000–45,000,000 VND",Chinese,1,5,1,5,5,5,1,5,2,2,3,5,2,3,3,3,2,2,2,1,2,2
8,promotion,Female,50–59,Bachelor’s degree,Managerial employee,Living with parents,">46,000,000 VND",Chinese,1,1,4,2,4,1,1,1,2,4,4,4,3,3,1,1,1,1,1,1,2,3
9,promotion,Female,>60,Postgraduate degree,Student,Divorced,"16,000,000–25,000,000 VND",Chinese,3,1,5,1,1,3,2,3,1,4,1,4,1,3,2,1,2,1,1,1,1,2
10,promotion,Female,30–39,Bachelor’s degree,Other,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,3,2,4,3,2,3,1,3,4,5,2,3,4,5,2,2,2,2,1,1,2
11,promotion,Male,20–29,Bachelor’s degree,Student,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,5,1,1,5,2,3,4,4,2,2,1,3,1,3,2,2,2,1,1,1,1
12,promotion,Male,>60,High school,Other,Living with parents,"16,000,000–25,000,000 VND",Chinese,4,1,1,4,2,1,1,5,5,4,3,3,4,2,2,2,3,2,2,1,1,2
13,promotion,Female,30–39,Postgraduate degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,2,1,5,4,2,2,2,3,2,5,2,2,2,4,2,4,2,1,1,2,3
14,promotion,Female,>60,Postgraduate degree,Office worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,5,1,5,2,5,3,5,2,4,3,4,2,4,2,1,2,3,2,1,1,2,3
15,promotion,Male,20–29,High school,Office worker,Living with parents,">46,000,000 VND",Chinese,2,2,5,2,1,3,5,4,3,3,4,2,2,2,5,2,2,1,2,1,1,2
16,promotion,Male,50–59,Postgraduate degree,Managerial employee,Single,"26,000,000–35,000,000 VND",Chinese,3,3,3,5,2,2,5,1,5,4,5,5,4,1,1,1,1,2,1,1,2,3
17,promotion,Male,<20,Postgraduate degree,Office worker,Divorced,"26,000,000–35,000,000 VND",Chinese,3,2,5,2,4,4,5,4,3,3,2,5,1,2,3,1,2,1,1,1,2,3
18,promotion,Female,20–29,High school,Blue-collar worker,Single,"<15,000,000 VND",Chinese,3,2,1,2,5,4,4,1,4,3,1,1,4,4,3,2,2,3,2,1,1,2
19,promotion,Female,40–49,Bachelor’s degree,Other,Living with parents,"16,000,000–25,000,000 VND",Chinese,1,4,2,2,3,1,5,4,1,1,3,1,4,5,1,2,2,2,1,1,1,2
20,promotion,Male,30–39,Postgraduate degree,Civil servant,Divorced,"36,000,000–45,000,000 VND",Chinese,5,3,4,2,2,1,5,2,3,3,5,1,4,1,1,2,3,2,2,1,1,1
21,promotion,Female,40–49,High school,Office worker,Single,"<15,000,000 VND",Chinese,1,3,4,1,3,5,3,2,5,5,1,4,5,3,4,1,2,1,1,1,1,2
