sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,promotion,Male,20–29,High school,Office worker,Living with parents,">46,000,000 VND",Southeast Asian,1,2,1,5,2,2,1,5,2,4,4,1,4,3,1,2,3.0,4.0,1.0,5.0,6.0,5.0
2,promotion,Female,30–39,Postgraduate degree,Managerial employee,Married,"26,000,000–35,000,000 VND",Southeast Asian,2,4,1,1,1,4,2,3,1,4,3,1,2,5,4,4,3.0,2.0,1.0,2.0,1.0,1.0
3,promotion,Female,>60,Bachelor’s degree,Other,Married,"36,000,000–45,000,000 VND",Southeast Asian,4,4,3,3,2,2,2,4,3,1,5,5,1,1,3,4,5.0,6.0,3.0,2.0,3.0,4.0
4,promotion,Male,40–49,Postgraduate degree,Managerial employee,Divorced,"26,000,000–35,000,000 VND",Southeast Asian,2,5,4,5,4,4,2,1,5,5,2,1,1,4,4,4,5.0,6.0,3.0,2.0,1.0,2.0
5,promotion,Male,30–39,Bachelor’s degree,Blue-collar worker,Single,">46,000,000 VND",Southeast Asian,1,3,1,2,2,3,5,1,2,1,2,1,5,1,1,3,4.0,5.0,2.0,3.0,3.0,4.0
6,promotion,Female,20–29,Bachelor’s degree,Managerial employee,Living with parents,">46,000,000 VND",Southeast Asian,2,5,5,3,1,4,2,1,5,5,4,2,1,1,4,3,4.0,3.5,2.0,2.0,2.0,1.5
7,promotion,Male,40–49,Postgraduate degree,Student,Divorced,"26,000,000–35,000,000 VND",Southeast Asian,1,4,2,4,1,5,4,3,4,4,5,1,3,3,5,4,5.0,6.0,3.0,2.0,2.0,3.0
8,promotion,Male,>60,Postgraduate degree,Student,Single,">46,000,000 VND",Southeast Asian,5,5,5,5,5,5,3,2,2,2,2,1,4,4,1,5,4.0,6.0,5.0,3.0,3.5,4.0
9,promotion,Male,30–39,Bachelor’s degree,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Southeast Asian,3,4,2,5,1,3,2,4,5,3,4,1,4,1,5,3,4.0,5.0,4.0,2.0,3.0,4.0
10,promotion,Male,30–39,Postgraduate degree,Student,Married,">46,000,000 VND",Southeast Asian,2,1,2,4,4,2,5,5,5,5,3,1,3,3,5,4,3.0,5.0,2.0,6.0,7.0,5.0
