sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,prevention,Female,<20,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,4,4,2,1,5,1,2,1,1,5,1,2,5,3,4,3,3.0,3,3,3.0
2,prevention,Female,40–49,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Chinese,1,4,2,3,2,1,5,5,1,2,4,3,4,5,3,5,6,4,5.0,5,6,7.0
3,prevention,Female,>60,Bachelor’s degree,Civil servant,Married,"26,000,000–35,000,000 VND",Chinese,4,4,4,3,1,2,3,2,4,4,2,1,2,1,1,2,3,4,5.0,5,6,7.0
4,prevention,Female,40–49,Postgraduate degree,Blue-collar worker,Married,">46,000,000 VND",Chinese,5,4,4,4,3,4,2,1,2,2,1,3,1,1,2,5,4,4,5.0,3,4,4.0
5,prevention,Male,>60,Bachelor’s degree,Civil servant,Married,"36,000,000–45,000,000 VND",Chinese,3,2,2,4,2,1,4,2,1,2,1,4,1,4,5,3,4,3,2.0,3,3,4.0
6,prevention,Male,20–29,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,2,5,2,3,4,5,1,4,2,5,2,5,1,4,2,4,3,4,5.0,4,5,6.0
7,prevention,Female,30–39,High school,Student,Married,"<15,000,000 VND",Chinese,5,2,5,4,4,2,5,5,2,5,5,1,4,1,1,5,4,5,3.0,4,5,5.0
8,prevention,Male,>60,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,5,4,4,5,1,2,2,4,5,4,4,2,2,3,4,5,4.0,2,3,4.0
9,prevention,Female,40–49,Postgraduate degree,Student,Married,">46,000,000 VND",Chinese,2,1,1,1,1,3,5,2,5,1,4,1,4,5,2,2,3,3,2.0,1,2,1.0
10,prevention,Female,30–39,Bachelor’s degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Chinese,3,3,1,1,1,5,2,2,4,5,2,2,2,3,4,3,2,3,3.0,4,5,3.0
11,prevention,Female,40–49,Postgraduate degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Chinese,5,4,5,2,5,5,4,3,3,3,5,2,3,1,4,4,5,5,5.0,3,4,5.0
12,prevention,Female,40–49,Bachelor’s degree,Civil servant,Single,"16,000,000–25,000,000 VND",Chinese,2,3,4,1,5,5,5,4,5,2,5,5,2,2,4,4,5,6,5.0,3,4,5.0
13,prevention,Female,40–49,High school,Student,Divorced,"<15,000,000 VND",Chinese,4,2,1,3,1,4,5,4,5,3,1,1,2,3,5,4,3,2,3.0,2,3,4.0
14,prevention,Female,20–29,Postgraduate degree,Other,Married,">46,000,000 VND",Chinese,4,5,2,4,1,3,4,3,4,5,4,5,4,2,1,3,4,3,4.0,2,3,3.0
15,prevention,Male,>60,Postgraduate degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,3,3,2,3,2,5,4,1,2,1,3,4,4,3,2,3,2.0,1,1,2.0
16,prevention,Female,<20,Postgraduate degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Chinese,3,5,1,5,3,3,2,5,1,2,1,2,1,2,2,4,3,5,3.0,6,5,7.0
17,prevention,Female,>60,Postgraduate degree,Other,Single,">46,000,000 VND",Chinese,3,5,3,5,5,2,2,5,5,5,5,1,1,1,5,4,3,4,3.0,5,6,7.0
18,prevention,Female,20–29,High school,Blue-collar worker,Single,"<15,000,000 VND",Chinese,3,3,3,1,3,5,1,3,5,5,1,3,1,5,1,3,3,4,3.0,3,3,4.0
19,prevention,Male,50–59,Bachelor’s degree,Civil servant,Divorced,"<15,000,000 VND",Chinese,1,2,4,4,1,3,1,1,5,4,1,4,4,3,5,3,2,3,2.0,1,1,2.0
20,prevention,Female,30–39,Postgraduate degree,Civil servant,Married,"16,000,000–25,000,000 VND",Chinese,2,4,5,5,5,4,1,4,2,4,2,4,5,4,4,5,4,3,4.0,2,3,4.0
21,prevention,Male,20–29,High school,Other,Single,">46,000,000 VND",Chinese,2,1,1,3,1,4,3,4,4,4,5,1,4,3,1,4,5,4,4.0,3,3,2.0
22,prevention,Male,>60,High school,Other,Living with parents,"36,000,000–45,000,000 VND",Chinese,1,3,2,3,4,5,4,4,1,4,3,4,3,4,4,3,4,3,2.0,3,5,6.0
23,prevention,Male,50–59,Bachelor’s degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Chinese,3,5,2,4,2,3,4,1,2,2,3,1,5,3,5,3,4,4,5.0,4,5,6.0
24,prevention,Female,30–39,High school,Student,Single,"16,000,000–25,000,000 VND",Chinese,4,2,1,5,1,3,5,2,1,1,2,4,2,1,3,3,4,2,3.0,3,4,5.0
