sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
246,unknown,Male,50–59,Bachelor’s degree,Other,Married,"<15,000,000 VND",Chinese,3,1,4,5,2,5,1,4,5,1,5,3,1,5,5,1,3,2,4.0,3,5,4.0
302,unknown,Male,40–49,Postgraduate degree,Office worker,Divorced,">46,000,000 VND",Chinese,3,1,4,4,4,3,3,3,3,1,1,4,5,3,5,1,4,2,3.0,3,3,4.0
339,unknown,Male,30–39,Postgraduate degree,Student,Divorced,">46,000,000 VND",Chinese,1,5,5,3,2,3,4,3,1,1,4,4,1,1,1,1,4,2,5.0,3,4,4.0
378,unknown,Female,>60,Bachelor’s degree,Blue-collar worker,Living with parents,"26,000,000–35,000,000 VND",Chinese,1,4,2,3,3,1,3,3,5,3,2,4,4,4,3,1,1,1,3.0,2,4,3.0
490,unknown,Male,50–59,Bachelor’s degree,Managerial employee,Married,"<15,000,000 VND",Chinese,4,1,3,2,2,3,3,3,2,5,3,1,4,4,2,1,3,2,5.0,3,4,4.0
62,unknown,Male,40–49,Postgraduate degree,Civil servant,Married,"36,000,000–45,000,000 VND",Chinese,5,4,3,4,3,3,2,4,5,4,5,4,4,3,2,1,4,2,5.0,3,4,4.0
236,unknown,Female,>60,Bachelor’s degree,Blue-collar worker,Married,"16,000,000–25,000,000 VND",Chinese,4,4,5,1,3,1,1,4,5,4,2,5,2,3,1,1,2,3,4.0,1,2,3.0
435,unknown,Female,30–39,Postgraduate degree,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Chinese,1,3,5,3,3,4,2,3,2,4,1,1,2,1,2,1,1,3,4.0,3,4,3.0
438,unknown,Female,20–29,High school,Civil servant,Single,"<15,000,000 VND",Chinese,4,1,1,5,1,1,1,5,3,2,4,1,1,4,3,4,1,3,2.0,4,3,4.0
91,unknown,Male,50–59,Postgraduate degree,Managerial employee,Single,">46,000,000 VND",Chinese,2,1,3,2,1,1,1,5,2,1,2,1,3,2,3,1,3,4,2.0,4,3,3.0
47,unknown,Male,20–29,Bachelor’s degree,Other,Married,">46,000,000 VND",Chinese,1,1,4,4,2,1,3,2,1,2,3,2,3,4,5,1,3,2,4.0,3,3,4.0
75,unknown,Male,50–59,High school,Civil servant,Single,"16,000,000–25,000,000 VND",Chinese,5,1,1,4,1,5,4,3,2,2,4,4,1,2,4,3,4,7,2.0,3,1,3.0
177,unknown,Male,40–49,Postgraduate degree,Civil servant,Divorced,">46,000,000 VND",Chinese,5,2,2,5,4,4,2,1,3,4,5,5,2,4,1,1,6,2,5.0,3,6,4.0
217,unknown,Female,50–59,High school,Managerial employee,Married,">46,000,000 VND",Chinese,1,4,1,1,3,5,5,1,4,2,4,4,1,5,1,3,2,3,3.0,4,5,
231,unknown,Male,30–39,Bachelor’s degree,Other,Married,"<15,000,000 VND",Chinese,4,2,4,5,4,3,3,5,1,3,1,1,3,5,1,1,2,3,4.0,1,2,3.0
309,unknown,Female,40–49,Bachelor’s degree,Blue-collar worker,Single,"<15,000,000 VND",Chinese,3,1,3,1,4,4,5,4,4,1,5,1,2,4,2,1,2,3,4.0,1,2,3.0
448,unknown,Male,50–59,High school,Other,Divorced,"36,000,000–45,000,000 VND",Chinese,3,3,5,5,1,2,4,5,2,2,1,2,3,3,2,1,3,2,4.0,3,5,4.0
64,unknown,Female,40–49,Bachelor’s degree,Office worker,Married,"<15,000,000 VND",Chinese,3,4,1,1,3,3,1,2,4,3,2,3,1,1,5,1,2,3,4.0,1,2,3.0
69,unknown,Male,30–39,Postgraduate degree,Other,Single,">46,000,000 VND",Chinese,5,1,3,4,3,2,3,5,2,1,4,4,1,5,5,1,2,3,4.0,5,6,7.0
252,unknown,Male,50–59,Bachelor’s degree,Student,Married,"26,000,000–35,000,000 VND",Chinese,5,2,5,2,3,1,3,1,4,4,2,4,5,5,1,1,1,1,2.0,3,4,1.0
332,unknown,Male,30–39,Postgraduate degree,Student,Married,"36,000,000–45,000,000 VND",Chinese,3,5,1,5,4,2,3,1,3,1,1,5,5,5,1,1,5,2,4.0,3,5,4.0
7,unknown,Female,20–29,Bachelor’s degree,Student,Living with parents,"36,000,000–45,000,000 VND",Chinese,3,3,5,1,4,2,4,2,2,4,2,5,2,3,2,1,1,1,4.0,7,2,5.0
59,unknown,Female,<20,High school,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Chinese,1,5,1,5,4,5,3,2,5,2,5,4,2,4,4,1,3,2,5.0,3,4,4.0
168,unknown,Female,40–49,High school,Other,Living with parents,"36,000,000–45,000,000 VND",Chinese,2,5,1,3,5,4,2,1,1,2,3,3,1,3,4,1,3,2,4.0,3,3,4.0
396,unknown,Male,40–49,Bachelor’s degree,Other,Married,"26,000,000–35,000,000 VND",Chinese,1,3,1,1,1,3,1,2,4,3,4,3,3,5,1,1,3,2,4.0,3,3,4.0
239,unknown,Male,<20,Bachelor’s degree,Student,Single,"16,000,000–25,000,000 VND",Chinese,1,4,3,3,1,3,4,2,4,5,2,1,3,4,5,1,5,2,6.0,3,4,4.0
269,unknown,Male,>60,Bachelor’s degree,Other,Single,"36,000,000–45,000,000 VND",Chinese,5,1,2,5,1,4,1,3,2,4,1,1,1,3,2,1,2,3,4.0,1,2,3.0
309,unknown,Female,40–49,Bachelor’s degree,Other,Single,"<15,000,000 VND",Chinese,2,3,3,5,4,3,3,2,4,5,4,5,4,5,1,1,2,3,4.0,1,2,3.0
137,unknown,Female,40–49,Bachelor’s degree,Civil servant,Married,"<15,000,000 VND",Chinese,2,3,4,2,2,3,2,5,1,2,5,1,5,1,2,1,2,4,3.0,5,4,3.0
274,unknown,Male,>60,Bachelor’s degree,Blue-collar worker,Single,"<15,000,000 VND",Chinese,4,1,5,4,2,2,2,5,4,3,1,1,1,3,3,3,4,3,3.0,2,2,3.0
313,unknown,Male,50–59,High school,Managerial employee,Living with parents,"26,000,000–35,000,000 VND",Chinese,3,2,4,3,1,3,4,5,5,2,5,5,5,4,5,3,4,4,5.0,1,3,2.0
376,unknown,Female,30–39,High school,Blue-collar worker,Divorced,">46,000,000 VND",Chinese,1,2,5,5,2,4,4,1,4,1,1,1,4,1,5,1,3,7,2.0,3,7,3.0
190,unknown,Female,20–29,Bachelor’s degree,Civil servant,Divorced,"16,000,000–25,000,000 VND",Chinese,1,5,1,5,1,3,4,2,2,1,1,2,5,5,2,1,1,3,2.0,4,3,3.0
244,unknown,Male,>60,Bachelor’s degree,Office worker,Married,"16,000,000–25,000,000 VND",Chinese,5,1,3,5,4,1,1,2,4,5,2,2,4,4,1,1,3,2,3.0,3,4,4.0
