sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,snack,Male,50–59,Postgraduate degree,Civil servant,Divorced,"36,000,000–45,000,000 VND",America,3,5,5,1,1,1,2,1,4,3,5,3,2,2,2,2,3,2,2,1,2,3
2,snack,Female,40–49,Postgraduate degree,Office worker,Divorced,">46,000,000 VND",America,1,2,4,5,3,5,4,2,2,4,2,2,3,2,2,2,3,3,3,1,2,4
3,snack,Female,40–49,High school,Blue-collar worker,Married,"<15,000,000 VND",America,3,2,4,4,5,1,5,3,5,1,2,2,3,3,4,3,4,4,3,2,3,5
4,snack,Female,20–29,High school,Civil servant,Living with parents,"36,000,000–45,000,000 VND",America,2,5,4,5,3,2,5,1,4,4,4,4,5,5,4,3,4,3,4,2,2,4
5,snack,Female,20–29,High school,Blue-collar worker,Married,"<15,000,000 VND",America,1,3,2,1,2,3,5,1,3,1,3,2,5,4,2,2,4,3,3,1,2,3
6,snack,Male,20–29,High school,Blue-collar worker,Divorced,">46,000,000 VND",America,1,2,5,4,5,5,5,2,1,1,5,1,1,3,3,2,3,3,3,1,1,4
7,snack,Female,50–59,Postgraduate degree,Other,Single,">46,000,000 VND",America,3,5,5,3,4,2,5,5,3,1,5,5,2,3,3,4,3,2,3,2,3,5
8,snack,Male,40–49,High school,Civil servant,Divorced,"36,000,000–45,000,000 VND",America,5,4,1,1,5,5,1,5,1,2,3,1,5,3,5,2,2,1,1,1,1,4
9,snack,Male,40–49,High school,Other,Divorced,"<15,000,000 VND",America,2,5,2,5,1,2,4,1,2,4,1,1,4,2,5,2,5,3,4,1,3,5
10,snack,Female,>60,Postgraduate degree,Blue-collar worker,Married,">46,000,000 VND",America,1,4,2,4,2,1,4,4,4,1,3,2,4,5,5,2,2,3,2,1,1,3
11,snack,Male,<20,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",America,3,3,3,1,5,4,3,2,5,2,4,2,4,3,2,3,3,2,2,1,2,3
12,snack,Female,40–49,Postgraduate degree,Blue-collar worker,Living with parents,"<15,000,000 VND",America,5,1,4,2,3,2,2,5,3,2,1,3,3,4,5,2,3,2,3,1,2,3
13,snack,Female,>60,High school,Managerial employee,Single,">46,000,000 VND",America,3,5,3,2,1,2,2,3,2,2,3,2,3,5,1,2,3,1,2,1,1,3
14,snack,Male,40–49,High school,Civil servant,Married,">46,000,000 VND",America,3,5,2,1,4,3,5,1,1,3,1,1,1,4,5,3,2,3,4,2,2,4
15,snack,Female,40–49,Bachelor’s degree,Student,Single,">46,000,000 VND",America,3,4,3,5,1,3,5,3,3,2,4,1,5,1,2,3,4,3,3,2,3,5
16,snack,Male,30–39,High school,Student,Divorced,"16,000,000–25,000,000 VND",America,4,5,2,3,2,5,2,2,5,4,2,3,3,5,1,3,4,3,4,2,3,4
17,snack,Male,20–29,Postgraduate degree,Other,Single,"36,000,000–45,000,000 VND",America,3,1,5,3,2,1,1,5,3,1,2,3,3,3,2,2,2,2,1,1,1,3
18,snack,Male,50–59,Postgraduate degree,Other,Living with parents,"36,000,000–45,000,000 VND",America,4,4,2,5,5,1,3,2,3,3,2,1,1,5,1,2,3,3,2,1,2,3
19,snack,Male,50–59,Postgraduate degree,Office worker,Single,"36,000,000–45,000,000 VND",America,3,1,1,4,2,1,2,3,4,1,2,2,2,2,1,2,1,2,1,1,1,3
20,snack,Male,20–29,High school,Office worker,Single,"26,000,000–35,000,000 VND",America,3,5,1,1,2,5,3,4,1,1,2,2,5,1,1,2,3,3,2,1,2,4
21,snack,Female,>60,Bachelor’s degree,Blue-collar worker,Divorced,"<15,000,000 VND",America,5,3,2,2,5,2,5,5,3,5,4,4,4,2,1,2,3,3,2,1,1,3
22,snack,Female,<20,High school,Managerial employee,Married,"36,000,000–45,000,000 VND",America,3,2,5,2,1,4,1,5,2,4,4,5,5,3,3,2,5,3,4,2,5,6
