sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,prevention,Female,>60,Postgraduate degree,Managerial employee,Married,"<15,000,000 VND",Arab,2,4,5,5,1,3,5,1,3,2,3,5,4,2,3,1,2,3,4,4,3,3
2,prevention,Male,50–59,High school,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,3,4,1,5,5,3,1,5,1,1,5,3,2,5,3,6,5,4,3,4,3,2
3,prevention,Male,20–29,Bachelor’s degree,Other,Single,"26,000,000–35,000,000 VND",Arab,3,4,5,5,1,3,1,5,3,2,4,3,1,2,5,4,5,6,7,2,3,4
4,prevention,Male,50–59,High school,Other,Single,">46,000,000 VND",Arab,5,5,5,3,2,3,1,3,4,1,4,1,4,4,3,4,5,6,7,3,2,1
5,prevention,Male,<20,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,1,5,3,3,2,1,1,2,5,1,1,4,5,3,4,7,6,5,4,7,6,5
6,prevention,Female,<20,Bachelor’s degree,Civil servant,Living with parents,"16,000,000–25,000,000 VND",Arab,1,3,1,3,5,1,1,3,2,5,1,3,2,3,5,7,6,5,4,3,2,1
7,prevention,Male,>60,High school,Office worker,Single,"26,000,000–35,000,000 VND",Arab,1,3,3,1,1,2,1,2,2,1,3,5,1,1,5,4,5,6,7,3,2,1
8,prevention,Female,<20,Postgraduate degree,Civil servant,Single,">46,000,000 VND",Arab,1,4,4,5,4,4,4,3,5,5,2,2,3,4,2,7,7,7,6,4,3,2
9,prevention,Female,30–39,Bachelor’s degree,Blue-collar worker,Single,"26,000,000–35,000,000 VND",Arab,5,4,3,5,2,5,3,3,4,4,4,2,5,1,3,7,6.5,6.5,6,4.5,3.5,3
10,prevention,Female,20–29,High school,Other,Divorced,"36,000,000–45,000,000 VND",Arab,2,2,4,5,2,2,3,4,2,5,3,3,4,2,5,3,4,5,6,2,3,3
11,prevention,Female,20–29,Bachelor’s degree,Civil servant,Single,">46,000,000 VND",Arab,2,3,1,4,3,3,3,4,1,5,2,3,2,2,2,5,6,7,7,4,4,3
12,prevention,Male,20–29,Postgraduate degree,Managerial employee,Single,">46,000,000 VND",Arab,5,5,3,2,4,5,2,4,3,4,4,4,3,1,2,4,3,7,2,2,4,5
13,prevention,Male,30–39,Bachelor’s degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Arab,5,3,1,4,2,4,3,5,2,3,4,5,5,1,2,4,3,5,6,2,3,2
14,prevention,Male,30–39,Bachelor’s degree,Civil servant,Divorced,">46,000,000 VND",Arab,2,2,1,4,1,4,2,2,2,1,4,2,1,4,3,3,4,5,7,2,3,3
16,prevention,Male,30–39,Postgraduate degree,Student,Living with parents,"26,000,000–35,000,000 VND",Arab,2,1,4,3,3,3,4,3,4,1,3,4,5,3,1,5,6,7,8,4,3,2
17,prevention,Female,30–39,Bachelor’s degree,Student,Single,"16,000,000–25,000,000 VND",Arab,2,3,1,1,4,1,4,2,4,3,3,5,4,1,2,4,3,6,5,2,2,3
18,prevention,Male,30–39,High school,Other,Single,">46,000,000 VND",Arab,3,2,3,3,3,4,3,5,2,4,4,3,3,4,5,4,6,7,5,3,4,3
19,prevention,Male,>60,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",Arab,5,2,3,1,3,3,1,3,4,5,1,2,3,5,3,6,7,6,5,4,3,2
20,prevention,Male,>60,Bachelor’s degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Arab,4,4,3,2,5,4,4,3,5,3,4,2,3,3,3,7,7,6,5,6,5,4
21,prevention,Female,50–59,Bachelor’s degree,Civil servant,Living with parents,"26,000,000–35,000,000 VND",Arab,4,4,1,2,1,5,2,2,4,3,1,5,1,1,5,7,7,7,6,5,4,3
22,prevention,Male,20–29,High school,Student,Divorced,">46,000,000 VND",Arab,3,1,1,4,2,4,5,5,3,3,5,4,2,5,3,7,7,6,4,1,3,2
23,prevention,Female,30–39,Postgraduate degree,Blue-collar worker,Divorced,">46,000,000 VND",Arab,5,1,2,5,5,4,2,5,4,2,1,5,5,1,2,4,5,6,7,3,2,1
24,prevention,Female,50–59,Bachelor’s degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Arab,2,2,4,2,2,5,3,3,5,1,1,3,2,4,2,4,5,6,7,2,3,3
25,prevention,Male,30–39,High school,Other,Living with parents,"16,000,000–25,000,000 VND",Arab,4,5,3,5,4,2,2,5,4,2,2,5,3,2,3,4,5,6,7,3,2,1
26,prevention,Male,<20,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Arab,3,4,1,4,2,3,3,3,3,3,1,2,3,2,3,3,5,4,4,2,3,3
28,prevention,Female,>60,High school,Office worker,Divorced,"26,000,000–35,000,000 VND",Arab,5,4,4,4,4,3,5,1,2,2,4,4,4,5,3,7,6,6,5,4,3,2
29,prevention,Female,30–39,Postgraduate degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Arab,5,2,3,5,4,3,5,1,5,5,2,2,2,3,1,4,5,6,7,3,2,1
30,prevention,Female,<20,Postgraduate degree,Civil servant,Living with parents,"26,000,000–35,000,000 VND",Arab,4,4,5,1,2,5,4,3,3,1,3,5,2,1,2,7,6,5,4,5,4,3
31,prevention,Male,40–49,High school,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,3,1,5,4,3,3,3,4,3,3,4,3,5,5,1,3,4,5,6,4,5,6
32,prevention,Female,30–39,Bachelor’s degree,Blue-collar worker,Married,"<15,000,000 VND",Arab,1,3,4,3,4,5,1,3,1,5,3,3,4,3,4,1,2,3,4,1,2,3
33,prevention,Male,>60,Bachelor’s degree,Civil servant,Single,"16,000,000–25,000,000 VND",Arab,2,1,1,3,1,5,1,3,3,1,4,3,3,1,3,5,4,6,4,3,2,3
34,prevention,Female,50–59,Bachelor’s degree,Office worker,Single,"16,000,000–25,000,000 VND",Arab,4,4,1,3,3,3,2,3,4,4,3,3,4,4,1,7,7,6,5,7,7,4
35,prevention,Male,>60,Postgraduate degree,Other,Single,"36,000,000–45,000,000 VND",Arab,1,1,2,4,4,3,2,5,2,4,1,4,1,4,5,3,5,6,7,2,4,3
36,prevention,Female,30–39,Bachelor’s degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Arab,5,4,5,4,1,3,5,3,1,2,2,2,2,4,2,7,7,7,7,5,4,3
37,prevention,Female,20–29,Bachelor’s degree,Student,Single,"36,000,000–45,000,000 VND",Arab,1,3,3,2,3,4,3,3,2,5,3,2,5,5,2,6,5,4,3,7,6,5
38,prevention,Female,20–29,Postgraduate degree,Blue-collar worker,Divorced,"16,000,000–25,000,000 VND",Arab,3,4,1,1,3,2,3,3,1,4,1,1,2,4,1,4,5,6,7,3,2,1
39,prevention,Female,40–49,Postgraduate degree,Blue-collar worker,Living with parents,">46,000,000 VND",Arab,3,4,1,2,1,5,3,4,4,2,4,3,2,3,5,6,7,7,6,4,5,3
40,prevention,Male,20–29,Postgraduate degree,Blue-collar worker,Single,">46,000,000 VND",Arab,2,1,5,5,5,1,2,4,4,4,3,1,3,3,4,3,4,5,6,2,3,3
41,prevention,Male,40–49,Bachelor’s degree,Other,Divorced,">46,000,000 VND",Arab,1,4,2,4,5,3,4,3,1,2,1,3,5,4,3,5,4,6,7,2,3,1
42,prevention,Male,<20,High school,Office worker,Living with parents,"<15,000,000 VND",Arab,4,5,5,5,1,2,5,1,5,3,3,4,2,3,3,6,5,7,6,4,3,2
43,prevention,Female,<20,High school,Managerial employee,Living with parents,"16,000,000–25,000,000 VND",Arab,1,3,4,4,2,1,4,3,2,4,4,3,5,4,5,6,5,4,3,2,3,2
44,prevention,Female,30–39,Postgraduate degree,Student,Divorced,"<15,000,000 VND",Arab,2,4,3,5,1,1,4,3,3,4,2,2,4,2,2,5,4,6,3,4,3,2
45,prevention,Male,50–59,Bachelor’s degree,Other,Divorced,"26,000,000–35,000,000 VND",Arab,5,5,1,5,5,5,4,2,5,3,5,5,4,1,2,7,7,7,7,1,2,3
46,prevention,Male,<20,Bachelor’s degree,Blue-collar worker,Living with parents,">46,000,000 VND",Arab,2,5,1,2,4,4,5,5,2,4,2,5,3,1,2,3,4,6,7,5,4,4
47,prevention,Male,>60,Postgraduate degree,Office worker,Living with parents,">46,000,000 VND",Arab,5,1,2,1,5,4,5,5,5,1,3,4,2,1,5,4,5,6,7,3,4,3
49,prevention,Male,20–29,High school,Managerial employee,Single,"16,000,000–25,000,000 VND",Arab,5,3,1,5,3,4,1,2,5,2,1,5,3,4,1,5,4,3,2,1,2,3
50,prevention,Male,<20,Postgraduate degree,Civil servant,Single,"26,000,000–35,000,000 VND",Arab,2,3,5,2,5,3,4,4,2,1,3,3,4,1,3,4,5,6,7,2,3,4
51,prevention,Male,20–29,High school,Blue-collar worker,Single,"36,000,000–45,000,000 VND",Arab,1,5,1,5,5,3,4,3,4,1,1,1,5,1,3,7,6,6,5,4,3,2
52,prevention,Female,20–29,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,5,1,1,5,4,2,1,3,4,4,1,5,3,4,4,6,5,7,5,3,2,4
53,prevention,Male,20–29,Bachelor’s degree,Student,Married,"36,000,000–45,000,000 VND",Arab,4,2,4,2,5,2,3,1,4,1,4,3,3,2,2,4,3,5,6,4,4,3
54,prevention,Female,<20,Bachelor’s degree,Civil servant,Married,"16,000,000–25,000,000 VND",Arab,2,1,5,4,3,2,3,4,3,5,2,5,4,4,3,3,4,5,6,3,3,3
