sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,promotion,Female,>60,Postgraduate degree,Managerial employee,Married,"<15,000,000 VND",Arab,2,4,5,5,1,3,5,1,3,2,3,5,4,2,3,5,6,7,7,4,3,2
2,promotion,Male,50–59,High school,Managerial employee,Married,"26,000,000–35,000,000 VND",Arab,3,4,1,5,5,3,1,5,1,1,5,3,2,5,3,6,5,7,4,3,2,1
3,promotion,Male,20–29,Bachelor’s degree,Other,Single,"26,000,000–35,000,000 VND",Arab,3,4,5,5,1,3,1,5,3,2,4,3,1,2,5,4,6,7,5,3,2,1
4,promotion,Male,50–59,High school,Other,Single,">46,000,000 VND",Arab,5,5,5,3,2,3,1,3,4,1,4,1,4,4,3,7,6,5,4,3,2,1
5,promotion,Male,<20,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Arab,1,5,3,3,2,1,1,2,5,1,1,4,5,3,4,3,4,5,6,2,3,4
6,promotion,Female,<20,Bachelor’s degree,Civil servant,Living with parents,"16,000,000–25,000,000 VND",Arab,1,3,1,3,5,1,1,3,2,5,1,3,2,3,5,3,4,5,6,2,3,3
7,promotion,Male,>60,High school,Office worker,Single,"26,000,000–35,000,000 VND",Arab,1,3,3,1,1,2,1,2,2,1,3,5,1,1,5,5,4,3,2,6,7,8
8,promotion,Female,<20,Postgraduate degree,Civil servant,Single,">46,000,000 VND",Arab,1,4,4,5,4,4,4,3,5,5,2,2,3,4,2,3,4,5,7,2,2,3
9,promotion,Female,30–39,Bachelor’s degree,Blue-collar worker,Single,"26,000,000–35,000,000 VND",Arab,5,4,3,5,2,5,3,3,4,4,4,2,5,1,3,7,6,5,4,6,5,4
10,promotion,Female,20–29,High school,Other,Divorced,"36,000,000–45,000,000 VND",Arab,2,2,4,5,2,2,3,4,2,5,3,3,4,2,5,4,5,6,7,3,4,5
11,promotion,Female,20–29,Bachelor’s degree,Civil servant,Single,">46,000,000 VND",Arab,2,3,1,4,3,3,3,4,1,5,2,3,2,2,2,4,5,6,7,3,2,1
12,promotion,Male,20–29,Postgraduate degree,Managerial employee,Single,">46,000,000 VND",Arab,5,5,3,2,4,5,2,4,3,4,4,4,3,1,2,7,6,5,4,5,4,3
13,promotion,Male,30–39,Bachelor’s degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Arab,5,3,1,4,2,4,3,5,2,3,4,5,5,1,2,6,5,7,6,4,3,2
14,promotion,Male,30–39,Bachelor’s degree,Civil servant,Divorced,">46,000,000 VND",Arab,2,2,1,4,1,4,2,2,2,1,4,2,1,4,3,4,5,6,7,3,2,1
15,promotion,Female,50–59,High school,Student,Divorced,">46,000,000 VND",Arab,1,3,4,5,5,3,4,3,3,1,5,4,2,5,2,4,3,5,7,2,3,4
16,promotion,Male,30–39,Postgraduate degree,Student,Living with parents,"26,000,000–35,000,000 VND",Arab,2,1,4,3,3,3,4,3,4,1,3,4,5,3,1,4,5,6,7,3,4,5
17,promotion,Female,30–39,Bachelor’s degree,Student,Single,"16,000,000–25,000,000 VND",Arab,2,3,1,1,4,1,4,2,4,3,3,5,4,1,2,4,3.5,4,3,3,2.5,2
18,promotion,Male,30–39,High school,Other,Single,">46,000,000 VND",Arab,3,2,3,3,3,4,3,5,2,4,4,3,3,4,5,7,6,5,4,5,4,3
19,promotion,Male,>60,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",Arab,5,2,3,1,3,3,1,3,4,5,1,2,3,5,3,{'score': 1},{'score': 2},{'score': 3},{'score': 4},{'score': 7},{'score': 6},{'score': 5}
20,promotion,Male,>60,Bachelor’s degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Arab,4,4,3,2,5,4,4,3,5,3,4,2,3,3,3,7,7,6.5,6,4,3,2
21,promotion,Female,50–59,Bachelor’s degree,Civil servant,Living with parents,"26,000,000–35,000,000 VND",Arab,4,4,1,2,1,5,2,2,4,3,1,5,1,1,5,5,5,5,4,2,3,3
22,promotion,Male,20–29,High school,Student,Divorced,">46,000,000 VND",Arab,3,1,1,4,2,4,5,5,3,3,5,4,2,5,3,3,4,5,6,4,5,6
23,promotion,Female,30–39,Postgraduate degree,Blue-collar worker,Divorced,">46,000,000 VND",Arab,5,1,2,5,5,4,2,5,4,2,1,5,5,1,2,7,6,5,4,5,3,2
24,promotion,Female,50–59,Bachelor’s degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Arab,2,2,4,2,2,5,3,3,5,1,1,3,2,4,2,4,5,6,7,3,2,1
25,promotion,Male,30–39,High school,Other,Living with parents,"16,000,000–25,000,000 VND",Arab,4,5,3,5,4,2,2,5,4,2,2,5,3,2,3,7,6,7,7,6,5,4
26,promotion,Male,<20,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Arab,3,4,1,4,2,3,3,3,3,3,1,2,3,2,3,4,5,6,7,2,3,4
27,promotion,Female,30–39,High school,Managerial employee,Single,">46,000,000 VND",Arab,1,5,1,5,4,3,2,3,3,4,4,1,3,2,5,5,4,4,3,3,2,1
28,promotion,Female,>60,High school,Office worker,Divorced,"26,000,000–35,000,000 VND",Arab,5,4,4,4,4,3,5,1,2,2,4,4,4,5,3,7,6.5,6.5,6,4,3.5,3
29,promotion,Female,30–39,Postgraduate degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Arab,5,2,3,5,4,3,5,1,5,5,2,2,2,3,1,7,6,5,4,6,5,4
