sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3
1,prevention,Female,30–39,High school,Managerial employee,Divorced,"26,000,000–35,000,000 VND",Southeast Asian,3,4,3,1,4,2,4,1,4,3,3,1,4,1,2,4,5.0,3.0,4.0,2.0,2.5,3.0
2,prevention,Male,>60,Postgraduate degree,Other,Single,"36,000,000–45,000,000 VND",Southeast Asian,4,5,1,3,1,1,1,4,4,3,2,1,3,4,1,3,4.0,2.0,3.0,2.0,1.0,1.0
3,prevention,Female,20–29,High school,Civil servant,Married,"16,000,000–25,000,000 VND",Southeast Asian,1,4,3,1,4,1,4,2,4,2,4,4,5,1,4,3,4.0,5.0,2.0,1.0,1.0,2.0
4,prevention,Male,>60,High school,Student,Single,"36,000,000–45,000,000 VND",Southeast Asian,5,1,3,5,1,4,1,5,4,5,1,1,5,3,3,4,3.0,2.0,3.0,1.0,1.0,2.0
5,prevention,Female,>60,High school,Civil servant,Single,"16,000,000–25,000,000 VND",Southeast Asian,2,1,3,1,5,1,3,4,5,5,4,5,4,5,1,3,2.0,4.0,1.0,2.0,2.0,3.0
6,prevention,Male,50–59,Postgraduate degree,Office worker,Married,"16,000,000–25,000,000 VND",Southeast Asian,2,4,5,5,1,3,4,1,4,2,3,3,2,2,3,4,5.0,3.0,2.0,4.0,6.0,5.0
7,prevention,Female,>60,Bachelor’s degree,Student,Divorced,">46,000,000 VND",Southeast Asian,3,4,3,3,5,2,4,2,2,3,5,4,1,3,1,4,5.0,3.0,2.0,1.0,2.0,3.0
8,prevention,Male,<20,Postgraduate degree,Other,Living with parents,"16,000,000–25,000,000 VND",Southeast Asian,2,3,1,5,3,1,3,4,2,5,2,3,3,2,5,3,4.0,5.0,2.0,1.0,3.0,2.0
9,prevention,Male,20–29,Bachelor’s degree,Managerial employee,Married,"<15,000,000 VND",Southeast Asian,4,3,3,2,5,4,2,2,4,1,3,1,4,3,4,3,4.0,3.5,3.0,2.0,2.5,2.0
10,prevention,Female,<20,Postgraduate degree,Other,Single,"36,000,000–45,000,000 VND",Southeast Asian,2,4,4,4,2,3,3,5,2,3,4,1,5,1,3,4,3.0,2.0,3.0,5.0,6.0,7.0
11,prevention,Female,<20,Postgraduate degree,Blue-collar worker,Married,"26,000,000–35,000,000 VND",Southeast Asian,3,3,2,3,2,2,2,2,1,3,2,1,4,4,2,3,4.0,2.0,5.0,1.0,2.0,3.0
12,prevention,Male,>60,Postgraduate degree,Other,Divorced,"16,000,000–25,000,000 VND",Southeast Asian,4,5,5,5,5,3,3,2,4,5,4,4,3,5,5,6,5.0,6.0,4.5,3.0,4.0,4.0
13,prevention,Female,40–49,High school,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Southeast Asian,3,5,4,1,2,3,5,2,5,1,4,5,4,5,2,5,4.0,3.0,2.0,1.0,2.0,3.0
14,prevention,Female,<20,Bachelor’s degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Southeast Asian,4,5,1,5,2,4,2,1,3,2,3,2,5,4,1,4,5.0,3.0,4.0,2.0,1.0,2.0
15,prevention,Female,20–29,High school,Blue-collar worker,Single,">46,000,000 VND",Southeast Asian,5,2,1,3,1,3,4,5,4,4,4,2,4,3,1,3,2.0,1.0,1.0,4.0,3.0,5.0
16,prevention,Male,>60,High school,Blue-collar worker,Living with parents,"26,000,000–35,000,000 VND",Southeast Asian,3,3,1,5,5,3,1,4,4,2,4,4,1,5,3,3,4.0,2.0,1.0,1.0,2.0,1.0
17,prevention,Female,20–29,Bachelor’s degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Southeast Asian,3,2,2,2,1,1,4,3,1,5,5,1,3,5,4,4,3.0,5.0,2.0,3.0,2.0,3.0
18,prevention,Female,>60,Postgraduate degree,Office worker,Married,"16,000,000–25,000,000 VND",Southeast Asian,2,1,2,5,4,4,4,4,4,5,4,2,2,1,1,3,2.0,4.0,3.0,5.0,6.0,7.0
19,prevention,Female,>60,Bachelor’s degree,Other,Living with parents,">46,000,000 VND",Southeast Asian,5,4,2,4,2,4,4,5,4,3,4,2,3,2,2,5,4.0,3.5,2.5,1.0,2.0,3.0
20,prevention,Male,>60,Postgraduate degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Southeast Asian,5,2,3,3,4,3,2,3,2,1,1,3,4,4,3,3,4.0,5.0,2.0,3.0,2.0,1.0
21,prevention,Female,<20,Postgraduate degree,Office worker,Living with parents,"<15,000,000 VND",Southeast Asian,3,3,3,1,1,5,2,1,2,2,3,3,5,1,1,2,3.0,4.0,1.0,2.0,3.0,1.0
22,prevention,Male,<20,Postgraduate degree,Blue-collar worker,Single,"16,000,000–25,000,000 VND",Southeast Asian,5,1,1,4,3,5,1,3,3,3,4,3,4,4,3,2,3.0,4.0,1.0,2.0,3.0,5.0
23,prevention,Male,30–39,Postgraduate degree,Office worker,Married,">46,000,000 VND",Southeast Asian,5,5,5,3,5,1,3,1,5,3,2,4,2,3,2,5,4.0,3.0,2.0,1.0,2.0,2.0
24,prevention,Male,50–59,Postgraduate degree,Blue-collar worker,Single,"36,000,000–45,000,000 VND",Southeast Asian,1,2,1,5,1,1,1,1,4,4,3,5,1,2,3,2,3.0,4.0,1.0,3.0,5.0,6.0
25,prevention,Female,20–29,High school,Other,Single,"36,000,000–45,000,000 VND",Southeast Asian,3,3,1,2,5,2,4,2,1,5,5,1,4,2,5,3,4.0,2.0,2.0,2.0,1.0,3.0
26,prevention,Female,30–39,Postgraduate degree,Civil servant,Single,">46,000,000 VND",Southeast Asian,1,3,2,3,4,3,4,1,4,3,1,2,5,1,1,3,4.0,5.0,2.0,1.0,3.0,2.0
27,prevention,Female,50–59,High school,Student,Single,">46,000,000 VND",Southeast Asian,4,2,4,2,1,3,4,4,1,2,2,3,3,5,5,4,5.0,6.0,3.0,2.0,3.0,4.0
28,prevention,Male,20–29,High school,Blue-collar worker,Living with parents,"<15,000,000 VND",Southeast Asian,1,3,5,1,3,2,2,5,3,3,1,1,2,4,4,4,5.0,3.0,2.0,1.0,3.0,3.0
29,prevention,Female,40–49,Postgraduate degree,Civil servant,Single,"36,000,000–45,000,000 VND",Southeast Asian,5,3,2,4,1,1,1,5,4,5,2,2,2,4,5,2,3.0,4.0,1.0,1.0,2.0,3.0
30,prevention,Male,<20,Postgraduate degree,Managerial employee,Living with parents,"36,000,000–45,000,000 VND",Southeast Asian,5,4,1,5,4,3,5,5,2,3,4,5,5,4,1,3,4.0,5.0,4.0,2.0,3.0,5.0
31,prevention,Female,20–29,High school,Other,Single,">46,000,000 VND",Southeast Asian,4,1,3,2,5,5,4,3,1,1,1,4,5,2,5,3,4.0,2.0,5.0,3.0,4.0,6.0
32,prevention,Male,40–49,High school,Student,Single,">46,000,000 VND",Southeast Asian,5,3,2,2,4,5,4,2,5,4,5,5,5,1,5,5,4.0,6.0,3.0,2.0,4.0,5.0
33,prevention,Male,40–49,Bachelor’s degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Southeast Asian,5,1,2,1,5,2,5,2,1,2,5,5,5,3,5,4,3.0,5.0,2.0,3.0,2.0,1.0
34,prevention,Male,40–49,Postgraduate degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Southeast Asian,4,4,4,1,1,1,2,2,3,5,4,2,4,3,4,3,4.0,2.0,5.0,1.0,1.0,2.0
35,prevention,Female,20–29,Postgraduate degree,Civil servant,Married,"<15,000,000 VND",Southeast Asian,5,5,3,4,2,5,4,1,4,5,3,3,5,5,2,5,4.0,3.0,2.0,3.0,3.0,4.0
36,prevention,Female,30–39,Bachelor’s degree,Other,Living with parents,"36,000,000–45,000,000 VND",Southeast Asian,1,2,1,3,2,5,5,3,1,1,3,2,4,2,1,3,4.0,2.0,2.0,1.0,2.0,3.0
37,prevention,Male,20–29,Bachelor’s degree,Other,Living with parents,"26,000,000–35,000,000 VND",Southeast Asian,2,5,5,5,5,3,1,3,4,5,1,1,2,2,4,3,4.0,5.0,2.0,2.0,2.0,3.0
38,prevention,Male,<20,Postgraduate degree,Other,Married,">46,000,000 VND",Southeast Asian,2,1,5,5,1,1,4,4,2,3,4,5,2,4,5,4,3.0,2.0,1.0,2.0,2.0,3.0
39,prevention,Male,<20,High school,Office worker,Married,"16,000,000–25,000,000 VND",Southeast Asian,3,1,3,5,2,2,4,3,1,2,4,3,4,3,2,3,4.0,3.0,2.0,1.0,2.0,3.0
