sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3,configuration,source_file,row_in_source,response_id,extraversion,agreeableness,conscientiousness,neuroticism,openness,ad_attitude_core,purchase_intention_core,ad_attitude_all_items,purchase_intention_all_items
1,promotion,Female,<20,Bachelor’s degree,Student,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,4,4,2,1,5,1,2,1,1,5,1,2,5,4.0,3.0,2.0,1.0,2.0,1.0,2.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,1,Chinese__deepseek-r1_14b__row00001,3.3333333333333335,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665,3.5,1.5,2.5,1.6666666666666667
2,promotion,Female,40–49,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Chinese,1,4,2,3,2,1,5,5,1,2,4,3,4,5,3,3.0,4.0,4.0,3.0,3.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,2,Chinese__deepseek-r1_14b__row00002,2.3333333333333335,2.0,3.6666666666666665,3.0,4.0,3.5,3.5,3.5,3.3333333333333335
3,promotion,Female,>60,Bachelor’s degree,Civil servant,Married,"26,000,000–35,000,000 VND",Chinese,4,4,4,3,1,2,3,2,4,4,2,1,2,1,1,3.0,4.0,4.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,3,Chinese__deepseek-r1_14b__row00003,4.0,2.0,3.0,2.3333333333333335,1.3333333333333333,3.5,3.5,3.5,3.0
4,promotion,Female,40–49,Postgraduate degree,Blue-collar worker,Married,">46,000,000 VND",Chinese,5,4,4,4,3,4,2,1,2,2,1,3,1,1,2,4.0,3.0,4.0,5.0,3.0,4.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,4,Chinese__deepseek-r1_14b__row00004,4.333333333333333,3.6666666666666665,1.6666666666666667,2.0,1.3333333333333333,3.5,5.0,4.0,4.333333333333333
5,promotion,Male,>60,Bachelor’s degree,Civil servant,Married,"36,000,000–45,000,000 VND",Chinese,3,2,2,4,2,1,4,2,1,2,1,4,1,4,5,3.0,2.0,3.0,3.0,3.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,5,Chinese__deepseek-r1_14b__row00005,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.5,3.5,2.75,3.3333333333333335
6,promotion,Male,20–29,Postgraduate degree,Other,Married,"16,000,000–25,000,000 VND",Chinese,2,5,2,3,4,5,1,4,2,5,2,5,1,4,2,5.0,4.0,5.0,6.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,6,Chinese__deepseek-r1_14b__row00006,3.0,4.0,2.3333333333333335,4.0,2.3333333333333335,4.5,4.5,5.0,4.0
7,promotion,Female,30–39,High school,Student,Married,"<15,000,000 VND",Chinese,5,2,5,4,4,2,5,5,2,5,5,1,4,1,1,4.0,5.0,4.0,5.0,4.0,3.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,7,Chinese__deepseek-r1_14b__row00007,4.0,3.3333333333333335,4.0,3.6666666666666665,2.0,4.5,4.0,4.5,4.0
8,promotion,Male,>60,Bachelor’s degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,5,4,4,5,1,2,2,4,5,4,4,2,2,3.0,4.0,3.0,3.0,3.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,8,Chinese__deepseek-r1_14b__row00008,3.6666666666666665,4.333333333333333,1.6666666666666667,4.333333333333333,2.6666666666666665,3.5,3.5,3.25,3.3333333333333335
9,promotion,Female,40–49,Postgraduate degree,Student,Married,">46,000,000 VND",Chinese,2,1,1,1,1,3,5,2,5,1,4,1,4,5,2,3.0,2.0,2.0,3.0,1.0,1.0,2.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,9,Chinese__deepseek-r1_14b__row00009,1.3333333333333333,1.6666666666666667,4.0,2.0,3.6666666666666665,2.5,1.5,2.5,1.3333333333333333
10,promotion,Female,30–39,Bachelor’s degree,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Chinese,3,3,1,1,1,5,2,2,4,5,2,2,2,3,4,3.0,3.0,4.0,4.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,10,Chinese__deepseek-r1_14b__row00010,2.3333333333333335,2.3333333333333335,2.6666666666666665,3.0,3.0,3.0,4.5,3.5,4.0
11,promotion,Female,40–49,Postgraduate degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Chinese,5,4,5,2,5,5,4,3,3,3,5,2,3,1,4,6.0,5.0,5.0,5.0,6.0,5.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,11,Chinese__deepseek-r1_14b__row00011,4.666666666666667,4.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,5.5,5.0,5.25,5.333333333333333
12,promotion,Female,40–49,Bachelor’s degree,Civil servant,Single,"16,000,000–25,000,000 VND",Chinese,2,3,4,1,5,5,5,4,5,2,5,5,2,2,4,3.0,4.0,4.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,12,Chinese__deepseek-r1_14b__row00012,3.0,3.6666666666666665,4.666666666666667,4.0,2.6666666666666665,3.5,3.5,3.5,3.0
13,promotion,Female,40–49,High school,Student,Divorced,"<15,000,000 VND",Chinese,4,2,1,3,1,4,5,4,5,3,1,1,2,3,5,2.0,3.0,2.0,3.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,13,Chinese__deepseek-r1_14b__row00013,2.3333333333333335,2.6666666666666665,4.666666666666667,1.6666666666666667,3.3333333333333335,2.5,3.5,2.5,3.0
14,promotion,Female,20–29,Postgraduate degree,Other,Married,">46,000,000 VND",Chinese,4,5,2,4,1,3,4,3,4,5,4,5,4,2,1,4.0,5.0,5.0,6.0,4.0,5.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,14,Chinese__deepseek-r1_14b__row00014,3.6666666666666665,2.6666666666666665,3.6666666666666665,4.666666666666667,2.3333333333333335,4.5,5.0,5.0,4.666666666666667
15,promotion,Male,>60,Postgraduate degree,Office worker,Divorced,"36,000,000–45,000,000 VND",Chinese,4,2,3,3,2,3,2,5,4,1,2,1,3,4,4,4.0,5.0,4.0,3.0,2.0,2.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,15,Chinese__deepseek-r1_14b__row00015,3.0,2.6666666666666665,3.6666666666666665,1.3333333333333333,3.6666666666666665,4.5,2.5,4.0,2.3333333333333335
16,promotion,Female,<20,Postgraduate degree,Blue-collar worker,Married,"36,000,000–45,000,000 VND",Chinese,3,5,1,5,3,3,2,5,1,2,1,2,1,2,2,5.0,4.0,5.0,6.0,3.0,4.0,5.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,16,Chinese__deepseek-r1_14b__row00016,3.0,3.6666666666666665,2.6666666666666665,1.6666666666666667,1.6666666666666667,4.5,4.5,5.0,4.0
17,promotion,Female,>60,Postgraduate degree,Other,Single,">46,000,000 VND",Chinese,3,5,3,5,5,2,2,5,5,5,5,1,1,1,5,4.0,5.0,3.0,4.0,2.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,17,Chinese__deepseek-r1_14b__row00017,3.6666666666666665,4.0,4.0,3.6666666666666665,2.3333333333333335,4.5,3.5,4.0,3.0
18,promotion,Female,20–29,High school,Blue-collar worker,Single,"<15,000,000 VND",Chinese,3,3,3,1,3,5,1,3,5,5,1,3,1,5,1,3.0,4.0,3.0,2.0,3.0,4.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,18,Chinese__deepseek-r1_14b__row00018,3.0,3.0,3.0,3.0,2.3333333333333335,3.5,3.5,3.0,3.3333333333333335
19,promotion,Male,50–59,Bachelor’s degree,Civil servant,Divorced,"<15,000,000 VND",Chinese,1,2,4,4,1,3,1,1,5,4,1,4,4,3,5,2.0,3.0,3.0,3.0,1.0,2.0,3.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,19,Chinese__deepseek-r1_14b__row00019,2.3333333333333335,2.6666666666666665,2.3333333333333335,3.0,4.0,2.5,2.5,2.75,2.0
20,promotion,Female,30–39,Postgraduate degree,Civil servant,Married,"16,000,000–25,000,000 VND",Chinese,2,4,5,5,5,4,1,4,2,4,2,4,5,4,4,5.0,6.0,5.0,5.0,4.0,5.0,6.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,20,Chinese__deepseek-r1_14b__row00020,3.6666666666666665,4.666666666666667,2.3333333333333335,3.3333333333333335,4.333333333333333,5.5,5.5,5.25,5.0
21,promotion,Male,20–29,High school,Other,Single,">46,000,000 VND",Chinese,2,1,1,3,1,4,3,4,4,4,5,1,4,3,1,4.0,5.0,4.0,5.0,4.0,3.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,21,Chinese__deepseek-r1_14b__row00021,1.3333333333333333,2.6666666666666665,3.6666666666666665,3.3333333333333335,2.6666666666666665,4.5,3.5,4.5,3.6666666666666665
22,promotion,Male,>60,High school,Other,Living with parents,"36,000,000–45,000,000 VND",Chinese,1,3,2,3,4,5,4,4,1,4,3,4,3,4,4,3.0,4.0,3.0,4.0,2.0,2.0,4.0,Chinese__deepseek-r1_14b,deepseek-r1_14b_promotion.csv,22,Chinese__deepseek-r1_14b__row00022,2.0,4.0,3.0,3.6666666666666665,3.6666666666666665,3.5,3.0,3.5,2.6666666666666665
