sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3,run,source_file,model,response_id,extraversion,agreeableness,conscientiousness,neuroticism,openness,ad_attitude_core,purchase_intention_core,ad_attitude_all_items,purchase_intention_all_items
1,promotion,Male,30–39,High school,Office worker,Living with parents,">46,000,000 VND",Chinese,5,4,1,3,1,3,4,3,2,1,3,2,3,4,5,4,5,4,3,2.0,3.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample1__promotion,3.3333333333333335,2.3333333333333335,3.0,2.0,4.0,4.5,3.5,4.0,3.0
2,promotion,Female,30–39,High school,Blue-collar worker,Divorced,"36,000,000–45,000,000 VND",Chinese,4,1,2,1,3,1,2,2,3,1,2,1,3,4,3,4,3,3,2,1.0,1.0,2.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample2__promotion,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.3333333333333333,3.3333333333333335,3.5,1.5,3.0,1.3333333333333333
3,promotion,Male,20–29,High school,Civil servant,Living with parents,"36,000,000–45,000,000 VND",Chinese,5,4,4,4,4,5,1,3,2,1,4,2,2,4,3,4,5,3,6,2.0,1.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample3__promotion,4.333333333333333,4.333333333333333,2.0,2.3333333333333335,3.0,4.5,2.0,4.5,2.0
4,promotion,Male,<20,Postgraduate degree,Blue-collar worker,Married,">46,000,000 VND",Chinese,2,1,1,4,1,5,1,3,1,2,3,2,3,2,1,3,2,3,4,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample4__promotion,1.3333333333333333,3.3333333333333335,1.6666666666666667,2.3333333333333335,2.0,2.5,2.5,3.0,2.0
5,promotion,Male,30–39,Bachelor’s degree,Student,Living with parents,"36,000,000–45,000,000 VND",Chinese,1,4,5,3,5,5,5,3,3,3,4,4,5,4,4,4,5,3,6,2.0,1.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample5__promotion,3.3333333333333335,4.333333333333333,3.6666666666666665,3.6666666666666665,4.333333333333333,4.5,2.5,4.5,2.3333333333333335
6,promotion,Female,20–29,Postgraduate degree,Blue-collar worker,Living with parents,"36,000,000–45,000,000 VND",Chinese,2,3,2,5,2,4,3,5,5,4,2,3,2,5,1,3,4,2,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample6__promotion,2.3333333333333335,3.6666666666666665,4.333333333333333,3.0,2.6666666666666665,3.5,2.5,3.5,2.0
7,promotion,Male,30–39,Postgraduate degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Chinese,3,1,3,2,3,5,5,3,2,5,3,2,4,5,3,4,5,6,3,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample7__promotion,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.0,4.5,2.5,4.5,2.0
8,promotion,Male,30–39,Bachelor’s degree,Managerial employee,Single,"<15,000,000 VND",Chinese,1,1,3,5,3,3,3,4,4,3,1,4,2,3,5,3,4,4,5,,,,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample8__promotion,1.6666666666666667,3.6666666666666665,3.6666666666666665,2.6666666666666665,3.3333333333333335,3.5,,4.0,
9,promotion,Male,20–29,Postgraduate degree,Civil servant,Divorced,"<15,000,000 VND",Chinese,1,2,3,4,5,3,4,2,3,5,4,2,3,3,3,3,4,4,5,1.0,2.0,3.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample9__promotion,2.0,4.0,3.0,3.6666666666666665,3.0,3.5,2.5,4.0,2.0
10,promotion,Male,20–29,Bachelor’s degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Chinese,1,2,3,3,4,2,4,2,3,4,5,4,1,5,3,4,5,6,3,2.0,1.0,4.0,1,deepseek-v2_236b_1.csv,deepseek-v2_236b,deepseek-v2_236b__run01__sample10__promotion,2.0,3.0,3.0,4.333333333333333,3.0,4.5,2.5,4.5,2.3333333333333335
