configuration,variable,expected_min,expected_max,observed_min,observed_max,missing_n,out_of_range_n
Chinese__deepseek-r1_14b,BFI_11,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_12,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_13,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_21,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_22,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_23,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_31,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_32,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_33,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_41,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_42,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_43,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_51,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_52,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,BFI_53,1,5,1.0,5.0,0,0
Chinese__deepseek-r1_14b,ad_att_1,1,7,1.0,7.0,0,0
Chinese__deepseek-r1_14b,ad_att_2,1,7,1.0,7.0,0,0
Chinese__deepseek-r1_14b,ad_att_3,1,7,1.0,7.0,0,0
Chinese__deepseek-r1_14b,ad_att_4,1,7,1.0,7.0,1,0
Chinese__deepseek-r1_14b,intent_1,1,7,1.0,7.0,0,0
Chinese__deepseek-r1_14b,intent_2,1,7,1.0,7.0,0,0
Chinese__deepseek-r1_14b,intent_3,1,7,1.0,8.0,0,1
Southeast_Asian__sailor2_20b,BFI_11,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_12,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_13,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_21,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_22,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_23,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_31,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_32,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_33,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_41,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_42,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_43,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_51,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_52,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,BFI_53,1,5,1.0,5.0,0,0
Southeast_Asian__sailor2_20b,ad_att_1,1,7,2.0,7.0,0,0
Southeast_Asian__sailor2_20b,ad_att_2,1,7,2.0,6.0,0,0
Southeast_Asian__sailor2_20b,ad_att_3,1,7,1.0,7.0,0,0
Southeast_Asian__sailor2_20b,ad_att_4,1,7,1.0,7.0,1,0
Southeast_Asian__sailor2_20b,intent_1,1,7,1.0,6.0,0,0
Southeast_Asian__sailor2_20b,intent_2,1,7,1.0,7.0,0,0
Southeast_Asian__sailor2_20b,intent_3,1,7,1.0,7.0,1,0
Arab__jais-adaptive_7b,BFI_11,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_12,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_13,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_21,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_22,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_23,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_31,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_32,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_33,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_41,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_42,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_43,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_51,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_52,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,BFI_53,1,5,1.0,5.0,0,0
Arab__jais-adaptive_7b,ad_att_1,1,7,1.0,7.0,58,0
Arab__jais-adaptive_7b,ad_att_2,1,7,1.0,7.0,65,0
Arab__jais-adaptive_7b,ad_att_3,1,7,1.0,8.0,65,5
Arab__jais-adaptive_7b,ad_att_4,1,7,1.0,9.0,65,12
Arab__jais-adaptive_7b,intent_1,1,7,0.0,8.0,51,2
Arab__jais-adaptive_7b,intent_2,1,7,0.0,7.0,58,4
Arab__jais-adaptive_7b,intent_3,1,7,-0.5,8.0,58,33
American__gemma2_9b,BFI_11,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_12,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_13,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_21,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_22,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_23,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_31,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_32,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_33,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_41,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_42,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_43,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_51,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_52,1,5,1.0,5.0,0,0
American__gemma2_9b,BFI_53,1,5,1.0,5.0,0,0
American__gemma2_9b,ad_att_1,1,7,1.0,6.0,0,0
American__gemma2_9b,ad_att_2,1,7,2.0,5.0,0,0
American__gemma2_9b,ad_att_3,1,7,1.0,5.0,0,0
American__gemma2_9b,ad_att_4,1,7,1.0,6.0,0,0
American__gemma2_9b,intent_1,1,7,1.0,3.0,0,0
American__gemma2_9b,intent_2,1,7,0.0,3.0,0,37
American__gemma2_9b,intent_3,1,7,0.0,5.0,0,13
