variable,expected_min,expected_max,observed_min,observed_max,missing_n,out_of_range_n
BFI_11,1,5,1.0,5.0,0,0
BFI_12,1,5,1.0,5.0,0,0
BFI_13,1,5,1.0,5.0,0,0
BFI_21,1,5,1.0,5.0,0,0
BFI_22,1,5,1.0,5.0,0,0
BFI_23,1,5,1.0,5.0,0,0
BFI_31,1,5,1.0,5.0,0,0
BFI_32,1,5,1.0,5.0,0,0
BFI_33,1,5,1.0,5.0,0,0
BFI_41,1,5,1.0,5.0,0,0
BFI_42,1,5,1.0,5.0,0,0
BFI_43,1,5,1.0,5.0,0,0
BFI_51,1,5,1.0,5.0,0,0
BFI_52,1,5,1.0,5.0,0,0
BFI_53,1,5,1.0,5.0,0,0
ad_att_1,1,7,2.0,6.0,0,0
ad_att_2,1,7,2.0,7.0,0,0
ad_att_3,1,7,2.0,6.0,0,0
ad_att_4,1,7,1.0,7.0,0,0
intent_1,1,7,1.0,4.0,292,0
intent_2,1,7,1.0,5.0,292,0
intent_3,1,7,1.0,6.0,292,0
