lval,op,rval,Estimate,Std. Err,z-value,p-value
F7,~,F6,0.6869565616098923,0.014415097291898845,47.6553538038415,0.0
F6,~,F1,1.314643321168539,0.18664189376810106,7.043666856461038,1.872502153332789e-12
F6,~,F2,0.4038614439558271,0.12746680147858858,3.1683657177237476,0.0015329854766288342
F6,~,F3,0.415273174164568,0.23321050174502533,1.7806795622643765,0.07496481380445719
F6,~,F4,-0.017582765551252346,0.1147062221546432,-0.15328519430615148,0.8781733759242858
F6,~,F5,0.8659489915601335,0.6051352822994065,1.4310006652863643,0.1524300244637049
BFI_11,~,F1,1.0,-,-,-
BFI_12,~,F1,2.6092587533792573,0.21247169608359417,12.28050042176158,0.0
BFI_13,~,F1,1.10079797438491,0.11336231612201951,9.710440047734524,0.0
BFI_21,~,F2,1.0,-,-,-
BFI_22,~,F2,1.2302901032623168,0.14706334956387454,8.365715230221891,0.0
BFI_23,~,F2,0.4755865365047883,0.09742701972238853,4.88146448341597,1.0530089031846046e-06
BFI_31,~,F3,1.0,-,-,-
BFI_32,~,F3,1.3559169978431054,0.2575259915623944,5.265165623134096,1.400630289527527e-07
BFI_33,~,F3,0.655281248569329,0.17783825264587438,3.684703593385458,0.00022896894206159146
BFI_41,~,F4,1.0,-,-,-
BFI_42,~,F4,0.05063115844984309,0.3042045545724557,0.16643787112535582,0.8678123727148941
BFI_43,~,F4,-0.0024439130511501924,0.05889976662763862,-0.04149274591458054,0.9669030757971806
BFI_51,~,F5,1.0,-,-,-
BFI_52,~,F5,2.07188660267117,0.5938062473162783,3.4891626890616636,0.0004845361533294401
BFI_53,~,F5,2.8269909128111053,0.7773692575693041,3.6366126976090722,0.00027624681121074524
ad_att_1,~,F6,1.0,-,-,-
ad_att_2,~,F6,1.2427908945690351,0.02085013818259999,59.605882878348126,0.0
ad_att_3,~,F6,0.6387734531539209,0.02888273848056668,22.116097251706034,0.0
ad_att_4,~,F6,0.10879072008461499,0.03580765940360854,3.03819690796694,0.002379983848692424
intent_1,~,F7,1.0,-,-,-
intent_2,~,F7,0.18340510200919824,0.01993244619320901,9.20133435817241,0.0
intent_3,~,F7,0.39103383670968483,0.023193529607877173,16.859608835044202,0.0
F1,~~,F1,0.08714215098214576,0.014193501674954522,6.139580842814491,8.273950413695275e-10
F1,~~,F2,0.03581773716582297,0.007495258865344399,4.778719161609432,1.7641539931112504e-06
F1,~~,F5,0.01716063565337932,0.0053034587361142,3.235744163198115,0.0012132607250772143
F2,~~,F2,0.1302281997536778,0.027298128742153524,4.770590723598208,1.8368642951127612e-06
F3,~~,F3,0.05860720008318858,0.021623923650230092,2.710294441862528,0.00672235025012502
F3,~~,F1,0.025313380061962716,0.0068865836698251345,3.6757529236451902,0.00023714895835658112
F3,~~,F2,0.02727328745297346,0.011019501665671496,2.4750018901001276,0.013323547072248587
F3,~~,F5,0.010690753537613907,0.005423587737131406,1.9711589548834703,0.048705697091902866
